sample,fixed_dice,fixed_iou,best_dice,best_iou,gt_positive
sample_0000.npz,0.28028933092224234,0.16298633017875921,0.283363802559415,0.1650692225772098,639
sample_0001.npz,0.2629757785467128,0.15139442231075698,0.2638522427440633,0.1519756838905775,639
sample_0002.npz,0.2878365831012071,0.1681127982646421,0.29135338345864664,0.1705170517051705,639
sample_0003.npz,0.29245283018867924,0.1712707182320442,0.29608404966571156,0.17376681614349776,639
sample_0004.npz,0.2777777777777778,0.16129032258064516,0.2810516772438803,0.16350210970464135,639
sample_0005.npz,0.29080675422138835,0.17014270032930845,0.29693486590038315,0.17435320584926883,639
sample_0006.npz,0.2902621722846442,0.16976998904709747,0.2938388625592417,0.17222222222222222,639
sample_0007.npz,0.279027902790279,0.16213389121338911,0.2810516772438803,0.16350210970464135,639
sample_0008.npz,0.26338147833474934,0.15166340508806261,0.26655202063628547,0.15376984126984128,639
sample_0009.npz,0.2772808586762075,0.16095534787123572,0.28233151183970856,0.16436903499469777,639
sample_0010.npz,0.8309685379395435,0.7108179419525066,0.8288736776602365,0.7077577045696068,1560
sample_0011.npz,0.86210102262163,0.7576252723311547,0.8613550815558344,0.756473829201102,1560
sample_0012.npz,0.8373639661426844,0.7202288091523661,0.8367534456355283,0.7193259610321222,1560
sample_0013.npz,0.849390243902439,0.7382087970323264,0.8522273425499232,0.7425053533190579,1560
sample_0014.npz,0.8338314405260012,0.7150179395181958,0.8360012080942314,0.7182148417228853,1560
sample_0015.npz,0.8255813953488372,0.7029702970297029,0.8237476808905381,0.7003154574132492,1560
sample_0016.npz,0.8451045771445893,0.731758530183727,0.8437786609599511,0.7297726070861977,1560
sample_0017.npz,0.8544049459041732,0.7458175930922828,0.8569643972517177,0.7497267759562841,1560
sample_0018.npz,0.836532507739938,0.7189994678020224,0.8378802132329884,0.7209929843497032,1560
sample_0019.npz,0.8500597371565114,0.7392207792207792,0.8486861975234068,0.7371458551941238,1560
sample_0020.npz,0.8617984308992155,0.7571580063626723,0.8568818514007308,0.7496004262120405,1789
sample_0021.npz,0.8576565777644591,0.7507869884575026,0.8553268765133172,0.7472236911686938,1789
sample_0022.npz,0.8544927536231884,0.7459514170040485,0.8567251461988304,0.7493606138107417,1789
sample_0023.npz,0.8509485094850948,0.7405660377358491,0.8469015795868773,0.7344573234984194,1789
sample_0024.npz,0.8524781341107872,0.7428861788617886,0.8475573866980577,0.7354443309499489,1789
sample_0025.npz,0.8497566909975669,0.738762559492332,0.8479460453709381,0.7360298030867483,1789
sample_0026.npz,0.8495102404274265,0.7383900928792569,0.8471930351245872,0.7348958333333333,1789
sample_0027.npz,0.8642413487133984,0.7609375,0.8621718377088305,0.7577346617724174,1789
sample_0028.npz,0.8776595744680851,0.7819905213270142,0.8712753277711561,0.7719112988384371,1789
