epoch,train_loss,train_seg_loss,train_aux_loss,train_dice,train_iou,val_loss,val_seg_loss,val_aux_loss,val_dice,val_iou,elapsed_seconds
1,1.506145426750183,1.506145426750183,0.0,0.42369682335853576,0.2859095892310142,1.4054838633537292,1.4054838633537292,0.0,0.5552328717708588,0.3987793564796448,1.084814361995086
2,1.1852690377235413,1.1852690377235413,0.0,0.5433694002628326,0.3898409073352814,1.2353698825836181,1.2353698825836181,0.0,0.5497009414434433,0.3935403096675873,2.2092085030162707
3,1.0234528884887695,1.0234528884887695,0.0,0.5956771929264069,0.4402236015796661,1.0906852209568023,1.0906852209568023,0.0,0.6364872062206268,0.4805728989839554,3.2578058670042083
4,0.8926457281112671,0.8926457281112671,0.0,0.6457196722030639,0.4924272856712341,1.0379103136062622,1.0379103136062622,0.0,0.6718928319215774,0.5197965157032013,4.336291028070264
5,0.7487969822883606,0.7487969822883606,0.0,0.7056240019798279,0.5591263198852539,1.0826984310150147,1.0826984310150147,0.0,0.6765317797660828,0.5250281846523285,5.426143641001545
6,0.6243681783676147,0.6243681783676147,0.0,0.7480462203025818,0.6100585842132569,1.123391078710556,1.123391078710556,0.0,0.6810880756378174,0.530267083644867,6.495659934007563
7,0.5202478692531586,0.5202478692531586,0.0,0.7890286960601807,0.6613008995056152,1.1426242566108704,1.1426242566108704,0.0,0.7262917137145997,0.5846624851226807,7.620238465024158
8,0.4408843038082123,0.4408843038082123,0.0,0.8159339189529419,0.6972176337242126,1.313294997215271,1.313294997215271,0.0,0.7130270361900329,0.5699431478977204,8.742717716027983
9,0.37516647124290464,0.37516647124290464,0.0,0.8401582398414612,0.7318857135772705,1.4605861735343932,1.4605861735343932,0.0,0.7299006104469299,0.5900966989994049,9.803955359966494
10,0.31383533477783204,0.31383533477783204,0.0,0.8652806363105774,0.7667079491615295,1.5245704007148744,1.5245704007148744,0.0,0.7278977286815643,0.5859190344810485,10.87242285697721
11,0.2680926924943924,0.2680926924943924,0.0,0.8846283831596374,0.7969171018600464,1.6971195125579834,1.6971195125579834,0.0,0.7259357464313507,0.5841423124074936,11.83091557805892
12,0.2510990533828735,0.2510990533828735,0.0,0.8923870573043823,0.8087545809745789,1.5736031973361968,1.5736031973361968,0.0,0.72405681848526,0.5816951203346252,12.870626967982389
13,0.22425139713287354,0.22425139713287354,0.0,0.9016945834159851,0.82339426612854,2.054046528339386,2.054046528339386,0.0,0.7161068820953369,0.5738273900747299,13.870078223058954
14,0.20137853133678435,0.20137853133678435,0.0,0.9120641617774964,0.8403337745666504,2.016518051624298,2.016518051624298,0.0,0.7210274314880372,0.5793194967508316,14.906891813967377
15,0.19353885567188264,0.19353885567188264,0.0,0.9155570731163025,0.8460773639678955,2.145563209056854,2.145563209056854,0.0,0.7150239479541779,0.5720037966966629,15.929439836996607
16,0.17131767225265504,0.17131767225265504,0.0,0.9258477635383606,0.863306866645813,2.3100868284702303,2.3100868284702303,0.0,0.7185759246349335,0.5773493939638138,16.96729602396954
17,0.15941752600669862,0.15941752600669862,0.0,0.9307753367424011,0.8715049061775207,2.387991679906845,2.387991679906845,0.0,0.7124668097496033,0.568046093583107,18.012065712013282
