method,method_dir,pattern,ratio,seed,observed_tokens,val_selected_threshold,val_selected_val_dice,test_fixed_dice,test_val_selected_dice,test_iou,test_precision,test_recall,test_mean_sample_dice,test_mean_sample_iou
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_baseline_core_20260701/r128_wrench_temporal_cnn_sparse_unet,random,0.5,20260701,200,0.675000011920929,0.7108785072633097,0.686585258432538,0.6870722459624423,0.5233130641419801,0.6914544119887536,0.6827452750198298,0.677244455055613,0.5240740046337856
world_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_unet,random,0.5,20260701,200,0.675000011920929,0.7568302108275723,0.7375771562540067,0.7392191962807618,0.5863185686997323,0.7426155387668688,0.7358537786165587,0.7190066821302403,0.5765270931500871
world_curve_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_curve_unet,random,0.5,20260701,200,0.625,0.7687895173231075,0.7354304489893526,0.734367772651876,0.5802378896360715,0.7720133348813295,0.700222915128142,0.7272142949898446,0.5843803563099743
