sample,fixed_dice,fixed_iou,best_dice,best_iou,gt_positive
sample_0000.npz,0.23343373493975902,0.13213981244671782,0.24180967238689546,0.13753327417923691,639
sample_0001.npz,0.22480058013052936,0.12663398692810457,0.22558667676003027,0.12713310580204779,639
sample_0002.npz,0.2553542009884679,0.14636449480642116,0.26518391787852863,0.15285996055226825,639
sample_0003.npz,0.248,0.1415525114155251,0.2570480928689884,0.14747859181731685,639
sample_0004.npz,0.2207977207977208,0.12409927942353884,0.22878228782287824,0.12916666666666668,639
sample_0005.npz,0.23168908819133036,0.13102282333051563,0.24087024087024086,0.13692579505300354,639
sample_0006.npz,0.22032693674484718,0.12380191693290735,0.22727272727272727,0.1282051282051282,639
sample_0007.npz,0.22415039768618944,0.1262214983713355,0.23360964581763377,0.13225255972696245,639
sample_0008.npz,0.22350396539293438,0.12581168831168832,0.23238380809595202,0.13146734520780323,639
sample_0009.npz,0.21031207598371776,0.11751326762699014,0.2198581560283688,0.12350597609561753,639
sample_0010.npz,0.858961474036851,0.7527891955372872,0.8464187327823691,0.7337313432835821,1560
sample_0011.npz,0.816695652173913,0.6901822457378013,0.7972876516773733,0.6629080118694362,1560
sample_0012.npz,0.8544912164401723,0.7459490740740741,0.8376712328767123,0.7206835592221568,1560
sample_0013.npz,0.875696949819613,0.778879813302217,0.8622431795217245,0.7578448786264061,1560
sample_0014.npz,0.8560835861139198,0.7483794932233353,0.8375652173913043,0.720526630760024,1560
sample_0015.npz,0.8809061488673139,0.7871602082128398,0.8688415446071904,0.7680988816951148,1560
sample_0016.npz,0.8826229508196721,0.789906103286385,0.8683058268777366,0.7672619047619048,1560
sample_0017.npz,0.8498659517426274,0.7389277389277389,0.8236111111111111,0.7001180637544274,1560
sample_0018.npz,0.8527131782945736,0.7432432432432432,0.8367417677642981,0.7193087008343266,1560
sample_0019.npz,0.8924590163934426,0.8058022498519835,0.8754231550440081,0.7784467188440698,1560
sample_0020.npz,0.9018626633305532,0.8212658227848101,0.9033912795668282,0.8238045738045738,1789
sample_0021.npz,0.8993885491939967,0.8171717171717172,0.8984930338356554,0.8156943727413526,1789
sample_0022.npz,0.8870204939569102,0.7969782813975449,0.8928283642224013,0.8064046579330422,1789
sample_0023.npz,0.8956922243294501,0.8110893032384691,0.8966850828729281,0.8127190786179269,1789
sample_0024.npz,0.875531914893617,0.7786187322611163,0.8826086956521739,0.7898832684824902,1789
sample_0025.npz,0.8951461517833199,0.8101941747572815,0.8978921434437449,0.8147044212617983,1789
sample_0026.npz,0.9034896401308615,0.8239681750372949,0.9071706503613118,0.8301119023397762,1789
sample_0027.npz,0.9086896551724138,0.8326592517694641,0.9053521126760563,0.827071538857437,1789
sample_0028.npz,0.906224517531938,0.8285288270377733,0.9107093184979138,0.8360572012257406,1789
sample_0029.npz,0.9009356081452944,0.8197295943915874,0.9004231311706629,0.818881477680862,1789
sample_0030.npz,0.7996597192683964,0.666194188518781,0.781791483113069,0.6417550626808101,4011
sample_0031.npz,0.8009367681498829,0.66796875,0.7760565498571214,0.6340624231998034,4011
sample_0032.npz,0.7512080831746961,0.6015478424015009,0.7348175071936999,0.5807996169499641,4011
sample_0033.npz,0.799765636443533,0.6663412252867952,0.7760879385634694,0.6341043307086615,4011
sample_0034.npz,0.7761108729818545,0.6341349521363531,0.7576519296170339,0.6098547964770292,4011
sample_0035.npz,0.7754980672019031,0.633317144244779,0.7598839871775301,0.6127523387493845,4011
sample_0036.npz,0.7695826186392224,0.6254646840148699,0.7557263189005468,0.6073634204275534,4011
sample_0037.npz,0.7713300775639184,0.6277764788403086,0.7616926503340757,0.6151079136690647,4011
sample_0038.npz,0.8,0.6666666666666666,0.7857764876632801,0.6471431986612479,4011
sample_0039.npz,0.7839195979899497,0.6446280991735537,0.7654320987654321,0.62,4011
sample_0040.npz,0.8013982958269609,0.6686110098432373,0.8169582772543742,0.6905574516496018,1921
sample_0041.npz,0.7863173847153063,0.6478772743489118,0.8072369890551708,0.6767790262172285,1921
sample_0042.npz,0.8013967699694456,0.6686088856518573,0.8191202872531418,0.693652603572786,1921
sample_0043.npz,0.7723904298115605,0.629182476716109,0.7908496732026143,0.654054054054054,1921
sample_0044.npz,0.7651090342679128,0.6195761856710393,0.784204909284952,0.6450140449438202,1921
sample_0045.npz,0.7917480998914224,0.6552839683680806,0.8060633080695497,0.6751306945481703,1921
sample_0046.npz,0.7974655888136334,0.6631540697674418,0.8135517164011667,0.6857034795763994,1921
sample_0047.npz,0.7967479674796748,0.6621621621621622,0.8117381489841986,0.6831306990881459,1921
sample_0048.npz,0.7951546614752325,0.6599640933572711,0.8106312292358804,0.6815642458100558,1921
sample_0049.npz,0.8059436682191173,0.674962852897474,0.8208513544274983,0.6961389961389961,1921
sample_0050.npz,0.732545045045045,0.577965348733896,0.7495626822157434,0.59944042900443,2799
sample_0051.npz,0.749543475207192,0.5994158616041338,0.7650115473441108,0.6194483403459561,2799
sample_0052.npz,0.7510442773600668,0.6013377926421405,0.7657864523536165,0.6204651162790698,2799
sample_0053.npz,0.7624733475479745,0.6161268090971743,0.7742690058479532,0.6316793893129771,2799
sample_0054.npz,0.7352316192095197,0.5813172043010753,0.7522774022920952,0.6029203956665097,2799
sample_0055.npz,0.743661186960156,0.5919272565979152,0.7585710169979832,0.6110466465537248,2799
sample_0056.npz,0.7477939083404498,0.59718117754035,0.7628865979381443,0.6166666666666667,2799
sample_0057.npz,0.7440225035161744,0.5923852183650616,0.7588518140754772,0.6114111293730923,2799
sample_0058.npz,0.7512332628611699,0.6015801354401806,0.7645011600928074,0.6187793427230047,2799
sample_0059.npz,0.763382250174703,0.6173146473779385,0.7776658512016117,0.6362137979750412,2799
sample_0060.npz,0.6632774106083714,0.4961967545638945,0.6603480958125107,0.4929251350656033,3402
sample_0061.npz,0.6769477911646586,0.5116561437591064,0.677180877279448,0.5119225037257824,3402
sample_0062.npz,0.6938164893617021,0.5311784168999746,0.691864406779661,0.5288934957242809,3402
sample_0063.npz,0.7154629180804654,0.5569811320754717,0.7129859387923904,0.5539845758354756,3402
sample_0064.npz,0.6836833602584814,0.5193912616593029,0.6823800890060986,0.5178884163122341,3402
sample_0065.npz,0.679109364767518,0.5141298958849777,0.6770310932798396,0.511751326762699,3402
sample_0066.npz,0.6885596456392241,0.5250407640344747,0.6895148669796557,0.5261523764031526,3402
sample_0067.npz,0.6700997747022852,0.5038722168441433,0.6720368239355581,0.5060658578856152,3402
sample_0068.npz,0.657590628462878,0.48985849056603775,0.6579330422125182,0.49023861171366595,3402
sample_0069.npz,0.6790755390103924,0.5140911225927666,0.6800127105179536,0.5151661049590756,3402
sample_0070.npz,0.8096498970285378,0.680177953534355,0.8105167724388033,0.6814024390243902,1671
sample_0071.npz,0.8499561275226675,0.7390640895218719,0.85525921486365,0.7471204188481675,1671
sample_0072.npz,0.8550597841936425,0.7468160978094753,0.8641532016756434,0.7608008429926238,1671
sample_0073.npz,0.7631284916201118,0.6169828364950316,0.7733947595738555,0.6305164319248826,1671
sample_0074.npz,0.8418308227114716,0.7268634317158579,0.8479427549194991,0.7360248447204969,1671
sample_0075.npz,0.8277076606985618,0.7060590886329494,0.8253776435045317,0.7026748971193416,1671
sample_0076.npz,0.7760064847338557,0.6339955849889625,0.7833101529902643,0.6438042981252858,1671
sample_0077.npz,0.8275472763195032,0.705825710158883,0.8325608342989571,0.713151364764268,1671
sample_0078.npz,0.8307165286896946,0.71044921875,0.8323090430201932,0.7127819548872181,1671
sample_0079.npz,0.8127903798852145,0.684622467771639,0.8219792542753014,0.6977629700142789,1671
sample_0080.npz,0.8002232142857143,0.6669767441860465,0.8082663605051664,0.6782273603082851,740
sample_0081.npz,0.7755102040816326,0.6333333333333333,0.7918050941306756,0.6553620531622365,740
sample_0082.npz,0.8248133256748995,0.7018572825024438,0.8340224453632605,0.7152988855116514,740
sample_0083.npz,0.8250143430866322,0.7021484375,0.8389380530973451,0.7225609756097561,740
sample_0084.npz,0.8229284903518729,0.6991321118611379,0.8338192419825073,0.715,740
sample_0085.npz,0.8060033351862146,0.6750465549348231,0.8168373151308305,0.6903846153846154,740
sample_0086.npz,0.7846836847946725,0.645662100456621,0.7954545454545454,0.660377358490566,740
sample_0087.npz,0.8181818181818182,0.6923076923076923,0.8320830929024813,0.7124505928853755,740
sample_0088.npz,0.81740125930166,0.691190706679574,0.8297872340425532,0.7090909090909091,740
sample_0089.npz,0.8112994350282486,0.6825095057034221,0.8277875072971396,0.7061752988047809,740
sample_0090.npz,0.6065292096219931,0.4352651048088779,0.5821629213483146,0.4105993065874195,3961
sample_0091.npz,0.6207012811867836,0.4500122219506233,0.6001376462491397,0.4287118977384464,3961
sample_0092.npz,0.6644919262763007,0.4975574010747435,0.6425716189207196,0.47337423312883437,3961
sample_0093.npz,0.6665591224391031,0.49987902250181465,0.6484259106642493,0.4797560975609756,3961
sample_0094.npz,0.6488888888888888,0.48026315789473684,0.6298472385428907,0.45969125214408235,3961
sample_0095.npz,0.6723609991941982,0.5064336003884438,0.6511551155115511,0.4827501835086861,3961
sample_0096.npz,0.6357615894039735,0.46601941747572817,0.6177514792899408,0.4469178082191781,3961
sample_0097.npz,0.6804885888781742,0.5157125456760049,0.6582236842105263,0.4905614121108115,3961
sample_0098.npz,0.6453556485355648,0.4764022732888559,0.6179140263743792,0.44708798017348206,3961
sample_0099.npz,0.6889419252187748,0.5254854368932039,0.6684013660757847,0.5019540791402052,3961
sample_0100.npz,0.7716256157635468,0.6281681103625281,0.7758478081058726,0.6337837837837837,2433
sample_0101.npz,0.7553941465498825,0.6069344318571919,0.7544326241134752,0.6056939501779359,2433
sample_0102.npz,0.7609442060085837,0.6141323172843782,0.7549019607843137,0.6062992125984252,2433
sample_0103.npz,0.7390355229212145,0.5860875039345295,0.7474077146412277,0.5966887417218543,2433
sample_0104.npz,0.7469240961574862,0.5960725075528701,0.755722178374112,0.6073580716777672,2433
sample_0105.npz,0.756212774697063,0.6079920739762219,0.7579171094580234,0.6101984941820671,2433
sample_0106.npz,0.7648514851485149,0.6192384769539078,0.7634431455897981,0.6173942935716741,2433
sample_0107.npz,0.7252931323283082,0.568988173455979,0.7342952275249722,0.5801473167309716,2433
sample_0108.npz,0.7424720993893451,0.5904219691895513,0.7294377067254686,0.5741062131204443,2433
sample_0109.npz,0.718413597733711,0.5605658709106985,0.7203940886699507,0.5629812134277795,2433
sample_0110.npz,0.7893088327416997,0.6519489479130735,0.7802554665512016,0.6396876109336174,2705
sample_0111.npz,0.7559443696724989,0.6076451496574108,0.7311331640895453,0.5762095307384504,2705
sample_0112.npz,0.7812086457873842,0.6409699601882012,0.7646524307133121,0.6189775652813534,2705
sample_0113.npz,0.7021825862473597,0.5410488245931284,0.6731141199226306,0.5072886297376094,2705
sample_0114.npz,0.7717099373321397,0.6282798833819242,0.7453416149068323,0.594059405940594,2705
sample_0115.npz,0.6423972263496781,0.4731849689894199,0.6072522982635342,0.43601026769343604,2705
sample_0116.npz,0.7869574796210619,0.64874682164911,0.765938274386123,0.6206644760861628,2705
sample_0117.npz,0.7789563003818413,0.6379430159833217,0.7632850241545893,0.6171875,2705
sample_0118.npz,0.797427652733119,0.6631016042780749,0.7844178840194777,0.6453022578295703,2705
sample_0119.npz,0.7642276422764228,0.618421052631579,0.7339065768068789,0.5796622613803231,2705
sample_0120.npz,0.7575510204081632,0.6097240473061761,0.7534132070214544,0.6043808672329012,1898
sample_0121.npz,0.7520133296306581,0.6025812194036493,0.7468030690537084,0.5959183673469388,1898
