epoch,train_loss,train_seg_loss,train_aux_loss,train_dice,train_iou,val_loss,val_seg_loss,val_aux_loss,val_dice,val_iou,elapsed_seconds
1,1.4116983995437622,1.4029257650375366,0.008772636571899056,0.4767779743671417,0.3342951190471649,1.175871911048889,1.175871911048889,0.0,0.6149399912357331,0.46009904265403745,1.4044580060290173
2,1.1446512703895568,1.1369923071861268,0.007658963907510042,0.5621325263977051,0.41073585748672486,1.280502610206604,1.280502610206604,0.0,0.6743261623382568,0.5237834787368775,2.700704631046392
3,1.1002834758758544,1.0926800060272217,0.007603469967842102,0.5804440941810608,0.4284607639312744,1.0159527134895325,1.0159527134895325,0.0,0.6416531324386596,0.48740785717964175,4.015528043964878
4,0.9742875733375549,0.9666939144134521,0.007593655988574028,0.6227989177703858,0.47113975763320926,0.9691298437118531,0.9691298437118531,0.0,0.6845275127887726,0.5318336308002471,5.341941884951666
5,0.8703962464332581,0.8631685099601746,0.007227735694497824,0.6594418363571167,0.5085653305053711,0.92773921251297,0.92773921251297,0.0,0.7028854191303253,0.5562802004814148,6.670658622984774
6,0.8792436370849609,0.8716965246200562,0.007547118693590164,0.6538748822212219,0.503683928489685,0.9373291480541229,0.9373291480541229,0.0,0.7305558061599732,0.5894359588623047,8.005407272023149
7,0.782381163597107,0.7750395002365112,0.00734166544675827,0.6911101431846619,0.5452684860229492,0.9300881505012513,0.9300881505012513,0.0,0.7595861065387726,0.6244516444206237,9.330238074995577
8,0.6925250849723816,0.6853254237174988,0.0071996602229774,0.7221633973121643,0.5796160287857056,1.0992548775672912,1.0992548775672912,0.0,0.7372860646247864,0.5979875230789184,10.697466899990104
9,0.7156976675987243,0.7078101015090943,0.007887563806027174,0.7102989754676818,0.5671150484085083,1.0550825881958008,1.0550825881958008,0.0,0.7547629606723786,0.6210061478614807,11.970309994998388
10,0.5752421813011169,0.5680986437797546,0.0071435395888984204,0.759902015209198,0.6253633079528809,1.535249288082123,1.535249288082123,0.0,0.7334805274009705,0.5927774250507355,13.282521505956538
11,0.5760465846061706,0.5688845438957214,0.007162040613591671,0.7579131197929382,0.6233182849884034,1.024427443742752,1.024427443742752,0.0,0.7578294944763183,0.6214429759979248,14.577274326002225
12,0.48156799602508543,0.4748306999206543,0.006737296469509602,0.7940663394927978,0.6691282758712769,1.2876826214790345,1.2876826214790345,0.0,0.764542727470398,0.6303950345516205,15.856493682949804
13,0.42882175612449647,0.42223976969718935,0.006581985667347908,0.8154955816268921,0.6975253434181213,1.3743353939056397,1.3743353939056397,0.0,0.7414772939682007,0.6005079054832458,17.185393649036996
14,0.5677010068893432,0.5603627181053161,0.00733828867226839,0.7670893836021423,0.6432655296325683,1.43450434923172,1.43450434923172,0.0,0.5641188514232636,0.4131022971868515,18.495415327022783
15,0.5406942973136902,0.5316514506340027,0.009042847156524658,0.7745264554023743,0.6465644345283509,1.4965820574760438,1.4965820574760438,0.0,0.7621768617630005,0.6276922416687012,19.759099085000344
16,0.3848323636054993,0.37764936876296995,0.007182995952665806,0.8321423707008362,0.721670883178711,1.524046529531479,1.524046529531479,0.0,0.7466191387176514,0.6082254517078399,21.03396435000468
17,0.33104412746429446,0.32426373147964477,0.006780394945293665,0.8549918661117554,0.7530595865249634,1.6412260627746582,1.6412260627746582,0.0,0.7468873143196106,0.6120971941947937,22.328582804999314
18,0.31610889720916746,0.3095456082820892,0.006563287768512964,0.8608322343826293,0.7631228275299072,1.7347310662269593,1.7347310662269593,0.0,0.7425553441047669,0.6034654724597931,23.605495569994673
19,0.28764070010185244,0.2812507610321045,0.0063899394571781155,0.8724262065887451,0.7800479469299316,1.9064251506328582,1.9064251506328582,0.0,0.7398652410507203,0.6011135375499725,24.932802904979326
20,0.2667718458175659,0.26058778548240663,0.0061840594187378885,0.8816188831329346,0.7931421337127685,2.133275308609009,2.133275308609009,0.0,0.7307698392868042,0.5922771716117858,26.236340524046682
21,0.24064695954322815,0.23458236503601074,0.0060645946227014065,0.89354625415802,0.8114413375854492,2.1027757334709167,2.1027757334709167,0.0,0.7401837730407714,0.6014365088939667,27.469628048944287
22,0.23147491347789764,0.22552321457862853,0.005951698761433363,0.8989251356124878,0.8200400199890137,2.345852742195129,2.345852742195129,0.0,0.7323812019824981,0.5937865674495697,28.72563993895892
23,0.24146078157424927,0.23536866545677185,0.00609211714938283,0.8945963649749756,0.8133591289520263,2.3125327908992768,2.3125327908992768,0.0,0.7298973631858826,0.5921885001659394,30.023257924010977
24,0.21341309714317322,0.2075085542201996,0.005904542524367571,0.9050586462020874,0.8302452449798584,2.701974160671234,2.701974160671234,0.0,0.7236868143081665,0.5833755254745483,31.28340891795233
25,0.19807191932201385,0.19235733091831209,0.005714589063078165,0.9123967018127441,0.8418192205429077,2.6334813117980955,2.6334813117980955,0.0,0.7208624768257141,0.5811594879627228,32.5544461599784
26,0.2047384192943573,0.1990475972890854,0.005690821539610624,0.9107657499313354,0.8394937019348144,2.907499098777771,2.907499098777771,0.0,0.6998897933959961,0.5548252844810486,33.85819654399529
27,0.2238598176240921,0.21803482866287233,0.005824988521635532,0.9001590480804443,0.8228621344566345,2.5123924803733826,2.5123924803733826,0.0,0.718287091255188,0.5789819085597991,35.18417817202862
