method,method_dir,ratio,seed,val_selected_threshold,val_selected_val_dice,test_fixed_dice,test_val_selected_dice,test_mean_sample_dice
world_curve_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_curve_unet,0.5,20260703,0.6000000238418579,0.7687449365717048,0.7331821332085687,0.7322346889402401,0.7271493368111537
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_baseline_core_20260701/r128_wrench_temporal_cnn_sparse_unet,0.5,20260704,0.675000011920929,0.707816436889752,0.6832269287045126,0.6817701989443767,0.6739840449509364
world_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_unet,0.5,20260704,0.675000011920929,0.7544485556637456,0.735086127316252,0.7362768258832915,0.7172069331201649
world_curve_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_curve_unet,0.5,20260704,0.6000000238418579,0.766272082561878,0.7306416994435634,0.7298163126614731,0.7227676686549518
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_baseline_core_20260701/r128_wrench_temporal_cnn_sparse_unet,0.5,20260705,0.675000011920929,0.708855241602755,0.685777711538009,0.6856454017438988,0.6751741625027071
world_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_unet,0.5,20260705,0.675000011920929,0.7572709696531867,0.7327390311812735,0.7343023387350551,0.7128144366088404
world_curve_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_curve_unet,0.5,20260705,0.6000000238418579,0.7680163681830812,0.7342586087693475,0.733534441561988,0.7265322958465018
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_baseline_core_20260701/r128_wrench_temporal_cnn_sparse_unet,0.75,20260701,0.625,0.7163278548931499,0.6950564737481341,0.6940292243714471,0.6836091682844853
world_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_unet,0.75,20260701,0.6499999761581421,0.7701059707069343,0.7536305999837947,0.754285193037546,0.7354597340992387
world_curve_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_curve_unet,0.75,20260701,0.6000000238418579,0.7827286459219144,0.7436558973076015,0.7420765310082533,0.7350251794954946
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_baseline_core_20260701/r128_wrench_temporal_cnn_sparse_unet,0.75,20260702,0.625,0.7174960367695068,0.6934993740088473,0.6929251208833522,0.683283042520519
world_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_unet,0.75,20260702,0.675000011920929,0.7707226304354534,0.756064401758049,0.7563694212254581,0.7391194272547813
world_curve_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_curve_unet,0.75,20260702,0.574999988079071,0.7812170676022202,0.7439673055067745,0.7430610371566235,0.7362461778838005
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_baseline_core_20260701/r128_wrench_temporal_cnn_sparse_unet,0.75,20260703,0.6000000238418579,0.7173221454534798,0.6925882668814606,0.6917982454322237,0.6826192398533724
world_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_unet,0.75,20260703,0.6499999761581421,0.7715327896615513,0.7557119897181862,0.7558476452284666,0.7378580733788883
world_curve_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_curve_unet,0.75,20260703,0.550000011920929,0.781781281388889,0.7443097342264324,0.7438621507180421,0.7366306033892204
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_baseline_core_20260701/r128_wrench_temporal_cnn_sparse_unet,0.75,20260704,0.6000000238418579,0.7162183877262119,0.6942491995630808,0.6937574030907364,0.6835860149160105
world_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_unet,0.75,20260704,0.675000011920929,0.7711172413069041,0.7549721911472894,0.7551126415637951,0.7365245786212248
world_curve_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_curve_unet,0.75,20260704,0.574999988079071,0.7806750560137484,0.7452416615683214,0.7441699164047253,0.7368881704580156
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_baseline_core_20260701/r128_wrench_temporal_cnn_sparse_unet,0.75,20260705,0.625,0.715948252600091,0.6943319146656308,0.6935000388936425,0.6840150521070091
world_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_unet,0.75,20260705,0.6499999761581421,0.7716052124207765,0.7523961056935016,0.7526842508754118,0.7337969779682716
world_curve_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_curve_unet,0.75,20260705,0.574999988079071,0.7828446954503542,0.7451830202299418,0.7442633611926006,0.7370204807039784
