method,baseline,ratio,mean_aggregate_dice_delta,min_aggregate_dice_delta,max_aggregate_dice_delta,mean_sample_dice_delta,sample_bootstrap_ci_low,sample_bootstrap_ci_high,num_seeds,num_sample_seed_pairs
world_curve_unet,sparse_unet,0.25,0.013014090131989686,0.011854097846014433,0.014502836352137671,0.009708292448676749,0.004467113642061297,0.015140657212498984,5,2000
world_unet,sparse_unet,0.25,0.00740733546753729,0.0025811846211927225,0.013726386962346515,-0.00212574541900533,-0.007965895250093271,0.003851654892999215,5,2000
world_curve_unet,sparse_unet,0.5,0.048514836612069276,0.04732577278735406,0.05045338346942985,0.05104202036727872,0.046947218669459195,0.05501360751222938,5,2000
world_unet,sparse_unet,0.5,0.053091847972497996,0.04865693699115636,0.0557184793632961,0.04215218297789959,0.03714144764413508,0.04735454252443476,5,2000
world_curve_unet,sparse_unet,0.75,0.050284592761768575,0.04804730663680623,0.05206390528581839,0.05293961884982272,0.04903555144803034,0.056816584816566006,5,2000
world_unet,sparse_unet,0.75,0.06165782385185514,0.059184211981769264,0.06404939979624291,0.05312925472820173,0.04838737722438741,0.05798168026037915,5,2000
