epoch,train_loss,train_seg_loss,train_aux_loss,train_dice,train_iou,val_loss,val_seg_loss,val_aux_loss,val_dice,val_iou,elapsed_seconds
1,1.8036477966308593,1.8036477966308593,0.0,0.30487789928913117,0.19399186956882478,1.6209132623672486,1.6209132623672486,0.0,0.4615040343999863,0.3152949479222298,1.4034479380352423
2,1.4917770357131959,1.4917770357131959,0.0,0.4399405422210693,0.29885441398620605,1.492378511428833,1.492378511428833,0.0,0.4561470675468445,0.31040951251983645,2.3673782600089908
3,1.3821132755279542,1.3821132755279542,0.0,0.47161084032058714,0.32631218910217286,1.2669858026504517,1.2669858026504517,0.0,0.5926725888252258,0.43892682194709776,3.3374274000525475
4,1.224361349105835,1.224361349105835,0.0,0.5323545527458191,0.3830863091945648,1.1475166201591491,1.1475166201591491,0.0,0.607999415397644,0.45231201171875,4.356306664994918
5,1.1489867696762084,1.1489867696762084,0.0,0.5570291085243225,0.40578747653961184,1.203716175556183,1.203716175556183,0.0,0.6140140509605407,0.4582089745998383,5.435756241087802
6,1.0689746990203857,1.0689746990203857,0.0,0.5846948781013489,0.43168019080162046,1.0502890610694886,1.0502890610694886,0.0,0.6358513832092285,0.4806873512268066,6.4407025299733505
7,1.022322308063507,1.022322308063507,0.0,0.593453293800354,0.4410794925689697,1.1230317258834839,1.1230317258834839,0.0,0.632735344171524,0.477873238325119,7.51049265707843
8,0.9333914966583252,0.9333914966583252,0.0,0.6220248823165894,0.46913564443588257,1.0357665383815766,1.0357665383815766,0.0,0.6932615792751312,0.5446594965457916,8.50569134100806
9,0.8699064598083496,0.8699064598083496,0.0,0.646776035785675,0.4949099097251892,1.2508745503425598,1.2508745503425598,0.0,0.674561824798584,0.5264078044891357,9.491036024061032
10,0.8401992239952087,0.8401992239952087,0.0,0.6558550052642822,0.5051876678466797,1.082076072692871,1.082076072692871,0.0,0.705288245677948,0.5581556141376496,10.477907777996734
11,0.710530562877655,0.710530562877655,0.0,0.7013318738937377,0.5555939431190491,1.156297881603241,1.156297881603241,0.0,0.6525771141052246,0.4971686315536499,11.414394131978042
12,0.6526109023094178,0.6526109023094178,0.0,0.7204868402481079,0.5765811219215393,1.285298821926117,1.285298821926117,0.0,0.712010715007782,0.5678443872928619,12.385762410005555
13,0.644019109249115,0.644019109249115,0.0,0.7233013434410095,0.581315357208252,1.3604089403152466,1.3604089403152466,0.0,0.727671582698822,0.587293666601181,13.359463668079115
14,0.6028626525402069,0.6028626525402069,0.0,0.7404413976669312,0.6006020183563232,1.2399784064292907,1.2399784064292907,0.0,0.680355395078659,0.5305231511592865,14.35809017100837
15,0.5035902032852173,0.5035902032852173,0.0,0.7805105390548706,0.6509622097015381,1.483283874988556,1.483283874988556,0.0,0.7077224588394165,0.5631799972057343,15.298042583977804
16,0.439825448513031,0.439825448513031,0.0,0.802572317123413,0.6799524855613709,1.6754251158237456,1.6754251158237456,0.0,0.7121026396751404,0.5690916633605957,16.29160496906843
17,0.40789179611206056,0.40789179611206056,0.0,0.8182290925979614,0.7008620142936707,1.8611276757717132,1.8611276757717132,0.0,0.705945839881897,0.5617744612693787,17.27538251003716
18,0.3393621258735657,0.3393621258735657,0.0,0.8468751573562622,0.7407824764251709,1.865154709815979,1.865154709815979,0.0,0.6970245385169983,0.5498310613632202,18.263933241018094
19,0.40010041761398313,0.40010041761398313,0.0,0.8223823289871216,0.7072121829986572,1.9715070152282714,1.9715070152282714,0.0,0.7127151799201965,0.5696332848072052,19.241417931974865
20,0.36280065512657167,0.36280065512657167,0.0,0.8357854566574097,0.7266861343383789,2.2889232206344605,2.2889232206344605,0.0,0.6828699517250061,0.5350102829933167,20.230951321078464
21,0.3287521004676819,0.3287521004676819,0.0,0.8501690053939819,0.7466224851608276,2.3579957413673402,2.3579957413673402,0.0,0.7017750692367554,0.557479647397995,21.230265095015056
22,0.27538075351715086,0.27538075351715086,0.0,0.8749393773078918,0.7829614229202271,2.547909822463989,2.547909822463989,0.0,0.7041005516052246,0.5607213044166565,22.1861050860025
23,0.2608978915214539,0.2608978915214539,0.0,0.8833135814666748,0.7958032598495484,2.220819506645203,2.220819506645203,0.0,0.6782447481155396,0.5273819780349731,23.156803318066522
24,0.2507623105049133,0.2507623105049133,0.0,0.8853615207672119,0.7982994637489319,2.5072711539268493,2.5072711539268493,0.0,0.6895746815204621,0.5411979162693024,24.164055478060618
25,0.246985023021698,0.246985023021698,0.0,0.88891876745224,0.8048573207855224,2.9509690284729,2.9509690284729,0.0,0.6749041676521301,0.5256396448612213,25.159254165017046
26,0.20086722469329835,0.20086722469329835,0.0,0.9084294176101685,0.8355324482917785,3.019935781955719,3.019935781955719,0.0,0.6803276252746582,0.5306794834136963,26.142066597007215
27,0.17688966333866118,0.17688966333866118,0.0,0.9196096143722534,0.8529869017601013,3.1627617716789245,3.1627617716789245,0.0,0.6852064394950866,0.5361809623241425,27.100619661039673
28,0.21392663824558258,0.21392663824558258,0.0,0.9015738382339478,0.8256168632507325,3.0092251777648924,3.0092251777648924,0.0,0.6676838684082032,0.5175884509086609,28.08556395000778
