sample,fixed_dice,fixed_iou,best_dice,best_iou,gt_positive
sample_0000.npz,0.26338147833474934,0.15166340508806261,0.2714535901926445,0.15704154002026344,639
sample_0001.npz,0.23574144486692014,0.1336206896551724,0.246422893481717,0.14052583862194015,639
sample_0002.npz,0.2841429880843263,0.1655982905982906,0.2935606060606061,0.17203107658157601,639
sample_0003.npz,0.29053420805998126,0.1699561403508772,0.302734375,0.17836593785960875,639
sample_0004.npz,0.28650646950092423,0.16720604099244876,0.29893924783027964,0.17573696145124718,639
sample_0005.npz,0.257689110556941,0.14790076335877864,0.2670111972437554,0.1540755467196819,639
sample_0006.npz,0.26405451448040884,0.1521099116781158,0.2743362831858407,0.15897435897435896,639
sample_0007.npz,0.27629233511586454,0.16028955532574973,0.2873030583873957,0.16774891774891776,639
sample_0008.npz,0.2454473475851148,0.13989169675090252,0.25556471558120364,0.14650283553875237,639
sample_0009.npz,0.26956521739130435,0.15577889447236182,0.28054298642533937,0.1631578947368421,639
sample_0010.npz,0.8258340985613712,0.7033368091762252,0.8250238170847888,0.7021621621621622,1560
sample_0011.npz,0.8318420240666461,0.7120972002113048,0.8401273885350319,0.7243272926963207,1560
sample_0012.npz,0.8247108947048083,0.7017089590885551,0.8240857503152585,0.7008042895442359,1560
sample_0013.npz,0.7929098966026588,0.6568771414586393,0.7963020030816641,0.6615463389656938,1560
sample_0014.npz,0.8018018018018018,0.6691729323308271,0.8008739076154806,0.6678813118167621,1560
sample_0015.npz,0.7989339650577436,0.6651873767258383,0.8010999083409716,0.6681957186544343,1560
sample_0016.npz,0.8227121715493808,0.6988199076449462,0.8202563301031572,0.6952835188129306,1560
sample_0017.npz,0.8017005769814759,0.6690319310694374,0.8046409532768893,0.6731374606505771,1560
sample_0018.npz,0.8262764632627646,0.7039787798408488,0.8249354005167958,0.7020340846619021,1560
sample_0019.npz,0.8041296243188988,0.6724220623501199,0.8025059665871122,0.6701544593921276,1560
sample_0020.npz,0.8891891891891892,0.8004866180048662,0.8913587107529869,0.8040100250626566,1789
sample_0021.npz,0.8785515320334262,0.7834078489816195,0.8744638261366886,0.7769308943089431,1789
sample_0022.npz,0.8868613138686131,0.7967213114754098,0.8943567798876705,0.8089017900338655,1789
sample_0023.npz,0.8760504201680672,0.7794392523364486,0.8758416374899004,0.7791087685673215,1789
sample_0024.npz,0.8689759036144579,0.7683089214380826,0.8819426504779126,0.7888170055452866,1789
sample_0025.npz,0.8638867033831629,0.760387811634349,0.8648939027665861,0.7619498343587316,1789
sample_0026.npz,0.8708755520914523,0.7712839392544869,0.8743664977327287,0.7767772511848341,1789
sample_0027.npz,0.866211962224554,0.7639981490050902,0.8705248990578734,0.7707340324118208,1789
sample_0028.npz,0.8810457516339869,0.7873831775700935,0.8879356568364611,0.7984570877531341,1789
sample_0029.npz,0.8757894736842106,0.7790262172284644,0.8756406797949825,0.7787907869481766,1789
sample_0030.npz,0.7453637660485022,0.5940875497441728,0.7529821073558648,0.6038262255878836,4011
sample_0031.npz,0.7264996552516663,0.5704746435661433,0.7275320970042796,0.5717488789237668,4011
sample_0032.npz,0.7557810287871638,0.6074340982362981,0.7611056268509379,0.6143426294820717,4011
sample_0033.npz,0.758223889931207,0.6105962933118453,0.7579303172126886,0.6102156164957087,4011
sample_0034.npz,0.7642963699651915,0.6185110663983904,0.7610917087052128,0.6143244936312382,4011
sample_0035.npz,0.7537651524427574,0.6048339555904892,0.7572195246613851,0.6092946740695044,4011
sample_0036.npz,0.7576923076923077,0.6099071207430341,0.7577081512919736,0.609927652733119,4011
sample_0037.npz,0.7388656716417911,0.5858738875213028,0.7426929802648014,0.5907013709517187,4011
sample_0038.npz,0.781416038551835,0.6412492395051713,0.7753213367609254,0.6330814441645676,4011
sample_0039.npz,0.7388445279473932,0.5858472998137803,0.7431573802541545,0.5912891308574761,4011
sample_0040.npz,0.7847826086956522,0.6457960644007156,0.8046080867404563,0.6730914588057445,1921
sample_0041.npz,0.7629427792915532,0.6167400881057269,0.787350054525627,0.6492805755395683,1921
sample_0042.npz,0.7628909551986475,0.6166723607789546,0.7840633942328857,0.6448225923244026,1921
sample_0043.npz,0.7552795031055901,0.6067864271457086,0.7808041504539559,0.6404255319148936,1921
sample_0044.npz,0.7665402444163506,0.6214554151007858,0.7919315939486955,0.655535390199637,1921
sample_0045.npz,0.7504643962848297,0.6005946481665014,0.7719674239177026,0.6286212914485165,1921
sample_0046.npz,0.759541188738269,0.6123066577000672,0.782042940793754,0.6420940170940171,1921
sample_0047.npz,0.7839965019676433,0.6447321107515283,0.8022753128555177,0.6698328267477204,1921
sample_0048.npz,0.7611404435058078,0.6143879986362086,0.782646994054173,0.6429088277858177,1921
sample_0049.npz,0.7776588915043869,0.636204481792717,0.8003553186764379,0.6671603109959274,1921
sample_0050.npz,0.7855059112544143,0.6467762326169406,0.7977062758840395,0.6634870164281929,2799
sample_0051.npz,0.7888434136728816,0.651314142678348,0.8014474512271869,0.6686794434234707,2799
sample_0052.npz,0.816710343764452,0.6902032308494007,0.8292290358924835,0.7082760516909541,2799
sample_0053.npz,0.7926755447941889,0.6565555277011782,0.8053417124901807,0.6741188847974751,2799
sample_0054.npz,0.7901923359271766,0.6531553398058253,0.8059565415590336,0.6749809111733266,2799
sample_0055.npz,0.8022478736330498,0.6697945726604109,0.8127074442863916,0.6845047923322684,2799
sample_0056.npz,0.8255362269886843,0.7029048029910843,0.8219563687543983,0.6977299880525687,2799
sample_0057.npz,0.814792811525323,0.687468671679198,0.8304744243548138,0.7100951374207188,2799
sample_0058.npz,0.8119146322739137,0.6833807185319204,0.81856,0.6928494041170098,2799
sample_0059.npz,0.8122230710466004,0.6838178543864163,0.8219920318725099,0.6977813852813853,2799
sample_0060.npz,0.6166906935768061,0.4458082445576656,0.6040829986613119,0.4327499400623352,3402
sample_0061.npz,0.594833018273472,0.4233183856502242,0.5930578512396695,0.42152255639097747,3402
sample_0062.npz,0.6440940012368583,0.4750285062713797,0.6447876447876448,0.4757834757834758,3402
sample_0063.npz,0.6405070932689405,0.47113676731793963,0.6387287739523291,0.46921492332341497,3402
sample_0064.npz,0.6340484642691774,0.46418079096045195,0.63424,0.46438612933458295,3402
sample_0065.npz,0.6503601440576231,0.4818768067600623,0.651964590774965,0.4836405529953917,3402
sample_0066.npz,0.6426080363912055,0.47341376228775695,0.6433171038165542,0.474183838851586,3402
sample_0067.npz,0.6458797327394209,0.4769736842105263,0.6466992665036675,0.4778681120144535,3402
sample_0068.npz,0.6044290056448112,0.433105164903547,0.6062612883804936,0.4349892008639309,3402
sample_0069.npz,0.625,0.45454545454545453,0.6282031609636336,0.45794183445190156,3402
sample_0070.npz,0.8,0.6666666666666666,0.7828418230563002,0.6431718061674009,1671
sample_0071.npz,0.7504702194357367,0.6006021073758153,0.7439896036387265,0.5923435075012933,1671
sample_0072.npz,0.7688225538971808,0.6244612068965517,0.7451790633608816,0.5938529088913282,1671
sample_0073.npz,0.7546798029556651,0.6060126582278481,0.7375212224108659,0.5841850457235073,1671
sample_0074.npz,0.7178642056690837,0.5598971722365038,0.701467076083248,0.5401996847083552,1671
sample_0075.npz,0.7799934619156587,0.6393354769560557,0.7598371777476255,0.612691466083151,1671
sample_0076.npz,0.7286918513893225,0.5731827111984283,0.7207855973813421,0.5634595701125895,1671
sample_0077.npz,0.7549108491991539,0.6063106796116505,0.7563499529633114,0.6081694402420574,1671
sample_0078.npz,0.7644334671194813,0.6186906546726637,0.7609881296118062,0.6141895390989125,1671
sample_0079.npz,0.7820710973724884,0.6421319796954315,0.7814102564102564,0.6412414518674382,1671
sample_0080.npz,0.7282717282717283,0.572663000785546,0.7421513124034997,0.5900163666121113,740
sample_0081.npz,0.7299051422865701,0.574685534591195,0.7490946714950854,0.5988420181968569,740
sample_0082.npz,0.7653806047966631,0.6199324324324325,0.7810650887573964,0.6407766990291263,740
sample_0083.npz,0.7467204843592331,0.5958132045088567,0.7632398753894081,0.6171284634760705,740
sample_0084.npz,0.7418546365914787,0.5896414342629482,0.7600827300930714,0.6130108423686406,740
sample_0085.npz,0.7393269713711703,0.5864541832669322,0.7546583850931677,0.6059850374064838,740
sample_0086.npz,0.7406659939455096,0.5881410256410257,0.7550702028081123,0.606516290726817,740
sample_0087.npz,0.7275449101796407,0.571764705882353,0.7385721623009759,0.5855048859934854,740
sample_0088.npz,0.7475876079228034,0.5969180859691808,0.7639979068550498,0.6181202370872142,740
sample_0089.npz,0.7497446373850868,0.5996732026143791,0.7666314677930306,0.6215753424657534,740
sample_0090.npz,0.6798901434238633,0.5150254276467868,0.6602402022756005,0.49280490681764566,3961
sample_0091.npz,0.6642416574410881,0.49727681742836843,0.6413363904356371,0.4720347155255545,3961
sample_0092.npz,0.6838407494145199,0.5195729537366548,0.6565477151622799,0.48870192307692306,3961
sample_0093.npz,0.7136121673003802,0.5547410735398439,0.6944226237234878,0.5318892900120337,3961
sample_0094.npz,0.6463805253042921,0.477520113582584,0.6291095324632414,0.4589057604241986,3961
sample_0095.npz,0.674773839537298,0.5091763652641003,0.6591783351284813,0.4916226761533165,3961
sample_0096.npz,0.6933216168717048,0.5305985205110961,0.6817629179331307,0.5171777726539082,3961
sample_0097.npz,0.6765461968849237,0.5111974405850092,0.6593544343465998,0.49181860682561945,3961
sample_0098.npz,0.712701463847405,0.5536411670112567,0.7000610873549176,0.5385338345864662,3961
sample_0099.npz,0.7164948453608248,0.5582329317269076,0.6988894102925074,0.5371483529694638,3961
sample_0100.npz,0.6480867064808671,0.4793848167539267,0.6511733880154933,0.48277027027027025,2433
sample_0101.npz,0.6562705908192401,0.4883949002942138,0.6599053414469236,0.4924318869828456,2433
sample_0102.npz,0.6441558441558441,0.47509578544061304,0.6318926974664679,0.46187363834422657,2433
sample_0103.npz,0.685006376389142,0.5209199224161818,0.6866464339908953,0.5228191796649335,2433
sample_0104.npz,0.6852240228789324,0.5211716937354989,0.6783062412201485,0.5132098390525357,2433
sample_0105.npz,0.6473167675923992,0.47854276011114544,0.6518454565076625,0.4835094460454691,2433
sample_0106.npz,0.6563531353135313,0.48848633712004913,0.6337719298245614,0.463884430176565,2433
sample_0107.npz,0.6362038664323374,0.46649484536082475,0.6353153967895094,0.4655400927766733,2433
sample_0108.npz,0.6497038824303575,0.4811565951916829,0.6552501126633619,0.48726541554959785,2433
sample_0109.npz,0.6541436464088398,0.4860426929392447,0.6642402183803457,0.49727520435967304,2433
sample_0110.npz,0.737344398340249,0.583963194216234,0.7244809688581315,0.5679891488640217,2705
sample_0111.npz,0.7478668941979523,0.5972742759795571,0.7342888643880926,0.5801393728222997,2705
sample_0112.npz,0.7440273037542662,0.592391304347826,0.7294377067254686,0.5741062131204443,2705
sample_0113.npz,0.7602409638554217,0.6132167152575316,0.7492182614133833,0.599,2705
sample_0114.npz,0.7716763005780347,0.6282352941176471,0.759607173356106,0.6123924268502582,2705
sample_0115.npz,0.7200878155872668,0.5626072041166381,0.6980231765507839,0.5361256544502618,2705
sample_0116.npz,0.783984375,0.6447157083199486,0.7668499287314192,0.6218626155878467,2705
sample_0117.npz,0.7603339442068825,0.6133377135348226,0.7518448239510858,0.6023648648648648,2705
sample_0118.npz,0.7758176412289396,0.6337435233160622,0.7664818237831177,0.6213786213786214,2705
sample_0119.npz,0.7526837324525186,0.6034425686858657,0.7331327889987108,0.578697421981004,2705
sample_0120.npz,0.7987804878048781,0.6649746192893401,0.81047018904508,0.6813365933170334,1898
sample_0121.npz,0.8016917293233082,0.6690196078431373,0.8076550387596899,0.6773669240146282,1898
sample_0122.npz,0.8009324009324009,0.6679626749611197,0.8078960038517092,0.6777059773828756,1898
sample_0123.npz,0.7883014623172103,0.6505755662829558,0.7993497445424989,0.6657640232108317,1898
sample_0124.npz,0.7966547192353644,0.6620333598093725,0.804138950480414,0.6724351050679852,1898
sample_0125.npz,0.7892848600813203,0.6519162386408535,0.7914703694520209,0.6549035699630693,1898
sample_0126.npz,0.7843045112781954,0.645148821028218,0.7876278616658549,0.6496584973885094,1898
sample_0127.npz,0.8018539976825029,0.6692456479690522,0.8149038461538461,0.6876267748478702,1898
sample_0128.npz,0.788961038961039,0.6514745308310992,0.7986593248743117,0.6648066958947788,1898
sample_0129.npz,0.7666975881261595,0.6216622790522753,0.7688984881209503,0.624561403508772,1898
sample_0130.npz,0.6455194290245837,0.4765807962529274,0.6727272727272727,0.5068493150684932,407
sample_0131.npz,0.6517213771016813,0.4833729216152019,0.679465776293823,0.5145385587863464,407
sample_0132.npz,0.6470588235294118,0.4782608695652174,0.6800334168755221,0.5151898734177215,407
sample_0133.npz,0.6496408619313647,0.48108747044917255,0.6806020066889632,0.5158428390367554,407
sample_0134.npz,0.6501597444089456,0.4816568047337278,0.6806020066889632,0.5158428390367554,407
sample_0135.npz,0.6379310344827587,0.46835443037974683,0.6661211129296236,0.49938650306748467,407
sample_0136.npz,0.6349453978159126,0.46514285714285714,0.6672131147540984,0.5006150061500615,407
sample_0137.npz,0.6591093117408907,0.4915458937198068,0.6846089150546678,0.520460358056266,407
sample_0138.npz,0.6823134953897737,0.5178117048346056,0.7140350877192982,0.5552523874488404,407
sample_0139.npz,0.7171806167400882,0.5590659340659341,0.7502304147465437,0.6002949852507374,407
sample_0140.npz,0.763825634352635,0.6178947368421053,0.7619047619047619,0.6153846153846154,1568
sample_0141.npz,0.7697772037455602,0.6257217847769029,0.771674387822634,0.6282327586206896,1568
sample_0142.npz,0.7819548872180451,0.6419753086419753,0.7886563133018231,0.6510590858416946,1568
sample_0143.npz,0.7745664739884393,0.6320754716981132,0.7744484688837668,0.631918323481999,1568
sample_0144.npz,0.7830310880829016,0.6434273549760511,0.7857142857142857,0.6470588235294118,1568
sample_0145.npz,0.7695238095238095,0.6253869969040248,0.775310254735467,0.6330666666666667,1568
sample_0146.npz,0.7808436409768474,0.6404786680541104,0.7852480417754569,0.646426652337453,1568
sample_0147.npz,0.7800857237059018,0.6394594594594595,0.7873582961181724,0.6492917847025496,1568
sample_0148.npz,0.7974892632969938,0.6631868131868132,0.7997293640054127,0.6662908680947013,1568
sample_0149.npz,0.7756827048114434,0.633563462559745,0.7746666666666666,0.6322089227421109,1568
sample_0150.npz,0.8184110970996217,0.6926360725720384,0.8031189083820662,0.6710097719869706,788
sample_0151.npz,0.8120678818353237,0.6835978835978836,0.8007787151200519,0.6677489177489178,788
sample_0152.npz,0.8411214953271028,0.7258064516129032,0.8307692307692308,0.7105263157894737,788
sample_0153.npz,0.852099817407182,0.7423117709437964,0.8350253807106599,0.7167755991285403,788
sample_0154.npz,0.8441961514587213,0.7303974221267454,0.8324742268041238,0.7130242825607064,788
sample_0155.npz,0.7909033480732786,0.6541274817136886,0.7769784172661871,0.6352941176470588,788
sample_0156.npz,0.8590852904820766,0.752979414951246,0.8433268858800773,0.7290969899665551,788
sample_0157.npz,0.8368617683686177,0.7194860813704497,0.8268733850129198,0.7048458149779736,788
sample_0158.npz,0.8394607843137255,0.723336853220697,0.8284250960307298,0.7071038251366121,788
sample_0159.npz,0.8368883312421581,0.7195253505933118,0.8210800260247235,0.6964679911699779,788
sample_0160.npz,0.7587311759051586,0.6112545172947857,0.7762096774193549,0.6342668863261944,2815
sample_0161.npz,0.7878315132605305,0.6499356499356499,0.8001304206064558,0.6668478260869565,2815
sample_0162.npz,0.7587578399877619,0.6112891298989401,0.77287166454892,0.6298213823453275,2815
sample_0163.npz,0.7670897690778407,0.6221781195733068,0.7851804738432183,0.6463350785340314,2815
sample_0164.npz,0.7984579799537393,0.6645277207392197,0.8075872046294807,0.677271501752494,2815
sample_0165.npz,0.781018445530506,0.640713916192447,0.799080761654629,0.665390924002187,2815
sample_0166.npz,0.7837921435199505,0.6444557477110885,0.7932029496633536,0.657279489904357,2815
sample_0167.npz,0.7727487777953004,0.6296581855564123,0.7877792378449409,0.6498644986449864,2815
