epoch,train_loss,train_latent_mse,train_sigreg,val_loss,val_latent_mse,val_sigreg,elapsed_seconds
1,0.24885967218875885,0.19980617439746856,0.9810699338912964,0.07662204265594483,0.03886811591684818,0.7550785231590271,1.2442062998889014
2,0.10930848097801209,0.08068630260229111,0.5724435429573059,0.06980582281947136,0.04827182739973068,0.4306798928976059,2.455200078897178
3,0.11020352411270141,0.09347717386484146,0.33452699160575866,0.07414746768772602,0.05946691274642944,0.29361110031604765,3.7544914298923686
4,0.12132114285230637,0.11102368944883347,0.20594906795024873,0.09330376639962196,0.08138122893869877,0.2384507405757904,5.061783610959537
5,0.1438426575064659,0.1365552734732628,0.14574767023324967,0.11555625900626182,0.10468949675559998,0.21733523041009903,6.364217355963774
6,0.16657594406604767,0.16109737306833266,0.10957138687372207,0.1295433384180069,0.11971989616751672,0.19646882086992265,7.632743488997221
7,0.17867801010608672,0.17402700614929198,0.09302004981040955,0.13347676351666451,0.12321818232536316,0.20517160832881928,8.835784869967028
8,0.17806799018383027,0.17400968849658965,0.08116601812839508,0.12869158491492272,0.11954807780683041,0.18287015646696092,10.050559088937007
9,0.1763921366930008,0.17279107332229615,0.07202126628160477,0.11794787675142288,0.10963977299630642,0.16616206675767897,11.23075244599022
10,0.1757214620113373,0.17215762865543366,0.07127665328979492,0.11736209243535996,0.10763201005756855,0.19460166454315186,12.413855309947394
