epoch,train_loss,train_latent_mse,train_sigreg,val_loss,val_latent_mse,val_sigreg,elapsed_seconds
1,0.25549599409103396,0.2105150694847107,0.8996185054779052,0.07230537213385105,0.04347912453114986,0.5765249425172806,1.3164101289585233
2,0.10331676596403122,0.08504241555929185,0.3654869990348816,0.07359591215848922,0.05355287924408913,0.4008606559038162,2.5507536579389125
3,0.10941152584552764,0.09661463189125061,0.25593787586688993,0.07765937566757203,0.06156109392642975,0.32196562737226486,3.808059087023139
4,0.1165635729432106,0.10707451808452606,0.1897810890674591,0.09099580325186253,0.0775797663629055,0.26832074493169783,5.023124109953642
5,0.12933514696359635,0.12187695580720902,0.14916383171081543,0.10216444313526153,0.09064719818532467,0.23034489691257476,6.2559010370168835
6,0.14084056389331817,0.13485973757505418,0.11961650913953781,0.11126338124275208,0.10182618752121925,0.18874388456344604,7.553498832974583
7,0.1506128476858139,0.1454576337337494,0.10310429447889329,0.11885381281375886,0.11030405595898628,0.17099514067173005,8.841854474972934
8,0.15684925174713135,0.15244389355182647,0.08810715782642364,0.12583305537700654,0.1178809368610382,0.15904236510396003,10.119075370021164
9,0.1654339655637741,0.16148609340190886,0.0789574499130249,0.1341619086265564,0.1265626686811447,0.15198479279875754,11.395868654013611
