epoch,train_loss,train_seg_loss,train_aux_loss,train_dice,train_iou,val_loss,val_seg_loss,val_aux_loss,val_dice,val_iou,elapsed_seconds
1,1.5147970552444459,1.5147970552444459,0.0,0.44619123899936675,0.3040401619672775,1.3387568283081055,1.3387568283081055,0.0,0.5267332917451859,0.37007244646549226,1.6559418119722977
2,1.189498281478882,1.189498281478882,0.0,0.5593356058597565,0.4035301146507263,1.1755251395702362,1.1755251395702362,0.0,0.589340227842331,0.4318523460626602,2.74510135804303
3,1.0220389504432679,1.0220389504432679,0.0,0.6113182210922241,0.4556345331668854,1.1325473487377167,1.1325473487377167,0.0,0.6303464394807815,0.47319146037101745,3.8427622170420364
4,0.8648644814491272,0.8648644814491272,0.0,0.6701960458755493,0.5182765045166016,1.0080373036861419,1.0080373036861419,0.0,0.6850081694126129,0.5347668623924255,4.936624363064766
5,0.7500484313964844,0.7500484313964844,0.0,0.7070691256523133,0.5607726802825928,0.9827109336853027,0.9827109336853027,0.0,0.7134121143817902,0.5686260515451431,6.004346178029664
6,0.5996736159324646,0.5996736159324646,0.0,0.7613939661979675,0.6263104557991028,1.0178546798229218,1.0178546798229218,0.0,0.7007274091243744,0.5528755760192872,7.096815497032367
7,0.5346003315448761,0.5346003315448761,0.0,0.7824754033088684,0.6522946972846985,1.1124789345264434,1.1124789345264434,0.0,0.7027708458900451,0.5550873720645905,8.172954882029444
8,0.4411485199928284,0.4411485199928284,0.0,0.818823558807373,0.7014946827888489,1.5452177798748017,1.5452177798748017,0.0,0.7212471675872802,0.5794295388460159,9.290923007996753
9,0.39992148280143736,0.39992148280143736,0.0,0.8331755723953247,0.7213315062522888,1.2434833669662475,1.2434833669662475,0.0,0.7306022346019745,0.5904236644506454,10.401532917981967
10,0.3242817072868347,0.3242817072868347,0.0,0.8629553084373474,0.7645385746955872,1.4635868394374847,1.4635868394374847,0.0,0.7382622134685516,0.6013566815853119,11.502446571015753
11,0.28125941240787505,0.28125941240787505,0.0,0.88206117105484,0.7926387310028076,1.5426928281784058,1.5426928281784058,0.0,0.7332749783992767,0.5947772163152695,12.592231068061665
12,0.24494696581363679,0.24494696581363679,0.0,0.8952150354385376,0.8128617315292358,1.9433073842525481,1.9433073842525481,0.0,0.7263533556461335,0.5879512751102447,13.678929766989313
13,0.23621765148639678,0.23621765148639678,0.0,0.8978451929092407,0.8174160876274109,1.7493546223640442,1.7493546223640442,0.0,0.7219274187088013,0.5811205554008484,14.749214994022623
14,0.23459272921085358,0.23459272921085358,0.0,0.8967912044525147,0.8160209984779357,1.7987474370002747,1.7987474370002747,0.0,0.7240110278129578,0.5832311916351318,15.789165550027974
15,0.18618051028251648,0.18618051028251648,0.0,0.9193491907119751,0.8523032159805298,2.33478249669075,2.33478249669075,0.0,0.7160105681419373,0.5749240839481353,16.817302866955288
16,0.1709561767578125,0.1709561767578125,0.0,0.9263261866569519,0.8638658137321472,2.2015642285346986,2.2015642285346986,0.0,0.7222186148166656,0.5803116315603256,17.851404082030058
17,0.1462446163892746,0.1462446163892746,0.0,0.9381676077842712,0.8843436341285705,2.332225353717804,2.332225353717804,0.0,0.7135804605484009,0.570023980140686,18.904701291001402
18,0.14555672001838685,0.14555672001838685,0.0,0.9369622206687928,0.882316177368164,2.517107846736908,2.517107846736908,0.0,0.7155922996997833,0.5737505841255188,19.95577753696125
