epoch,train_loss,val_loss,elapsed_seconds
1,0.16952740466594696,0.1397094038128853,1.282457941910252
2,0.08707430410385132,0.060519198179245,2.1070929219713435
3,0.05461656185984611,0.049699970185756684,3.007538001984358
4,0.04914839974045754,0.049283185750246046,3.8606217259075493
5,0.04863857737183571,0.0452859103679657,4.681408403906971
6,0.045217912554740905,0.051824194937944414,5.438483682926744
7,0.04463126328587532,0.050459388196468356,6.201878742896952
8,0.04356958383321762,0.04289831191301346,6.985449877916835
9,0.042630388498306276,0.041807451397180555,7.793920935946517
10,0.043233654975891114,0.04065202534198761,8.56483332393691
11,0.04064129248261452,0.040907536894083024,9.346593819907866
12,0.03975235846638679,0.0395510321855545,10.145945891970769
13,0.039765204310417177,0.038807701617479325,10.939768098993227
14,0.03902161708474159,0.03914882764220238,11.707711771945469
15,0.03834932208061218,0.03772813335061073,12.493258441914804
16,0.03865589240193367,0.03823077276349068,13.289214750984684
17,0.03928415605425835,0.038346223384141925,14.071970485965721
18,0.037812053859233856,0.03720394745469093,14.857937460998073
19,0.03730080795288086,0.03727947562932968,15.63522876391653
20,0.03668554246425629,0.037320912778377534,16.422644856967963
21,0.03677771213650703,0.03668588876724243,17.26576400990598
22,0.03667633819580078,0.03672465071082115,18.074057065998204
23,0.03581338235735893,0.035054969042539595,18.907231841003522
24,0.03477189528942108,0.03465337127447128,19.792109075933695
25,0.03355308970808983,0.032453431338071825,20.633813812979497
26,0.03232933926582336,0.031926322355866434,21.484056131914258
27,0.03145930521190166,0.031579628437757495,22.35325212799944
28,0.03018135192990303,0.031301542446017266,23.21014243690297
29,0.02999402104318142,0.028405876532197,24.072526691947132
30,0.027870813727378846,0.027550993487238884,24.891807658947073
31,0.027778418391942977,0.028455045819282532,25.691073300899006
32,0.027770223185420037,0.026982236430048944,26.484156735939905
33,0.0266638093739748,0.02667838357388973,27.26910982397385
34,0.026395026862621306,0.02658507540822029,28.06773956899997
35,0.025873620867729187,0.025836945101618766,28.884267404908314
36,0.025398860901594163,0.025244927406311034,29.650283043971285
37,0.025367828160524367,0.025487505793571473,30.42887611198239
38,0.02499539388716221,0.025186482071876525,31.19560759200249
39,0.024778603717684745,0.026956766247749328,32.01104423799552
40,0.025677143290638922,0.025205582752823828,32.82386530400254
41,0.024632342994213106,0.02442061573266983,33.60790347296279
42,0.024292090356349945,0.024439953193068506,34.37925524695311
43,0.02402879400551319,0.024292472898960114,35.21805622591637
44,0.023922991454601288,0.023828963935375213,36.09816029795911
45,0.02366228987276554,0.024479487836360933,36.94825443997979
46,0.023253016740083694,0.023962228894233703,37.74767574691214
47,0.023139202907681466,0.02338143214583397,38.52258507197257
48,0.022611451134085657,0.022086706310510636,39.34321657195687
49,0.021833700343966485,0.021508851423859596,40.15189024899155
50,0.020988410517573358,0.02120697110891342,40.93552425992675
51,0.020110068365931513,0.020279416665434837,41.72045136091765
52,0.019597192704677583,0.019322976991534232,42.52585126389749
53,0.018830722883343698,0.019718818888068198,43.33196413598489
54,0.019659611597657202,0.01897589959204197,44.14526407094672
55,0.0179670352935791,0.018059132695198057,44.922076607937925
56,0.01734710764884949,0.01818817388266325,45.72386785992421
57,0.017272495195269584,0.017439496740698814,46.5138692969922
58,0.016907783508300783,0.01656850803643465,47.31884097389411
59,0.016374237447977065,0.017002384439110757,48.11395290098153
60,0.015862028412520886,0.016205426789820194,48.91392089391593
61,0.015248959243297578,0.015385078713297844,49.72339266294148
62,0.014865887939929961,0.015291323401033879,50.51276331895497
63,0.015343807592988014,0.01649959519505501,51.30398338998202
64,0.014726241022348404,0.014954065084457397,52.098843642976135
