sample,fixed_dice,fixed_iou,best_dice,best_iou,gt_positive
sample_0000.npz,0.2600671140939597,0.14946962391513982,0.26360544217687076,0.15181194906953965,639
sample_0001.npz,0.2600671140939597,0.14946962391513982,0.26360544217687076,0.15181194906953965,639
sample_0002.npz,0.26473099914602904,0.15255905511811024,0.2681660899653979,0.15484515484515485,639
sample_0003.npz,0.2654109589041096,0.15301085883514315,0.2683982683982684,0.155,639
sample_0004.npz,0.26382978723404255,0.15196078431372548,0.26747195858498707,0.15438247011952191,639
sample_0005.npz,0.26248941574936496,0.15107212475633527,0.26518391787852863,0.15285996055226825,639
sample_0006.npz,0.248,0.1415525114155251,0.25101214574898784,0.14351851851851852,639
sample_0007.npz,0.2654109589041096,0.15301085883514315,0.2690972222222222,0.15546639919759278,639
sample_0008.npz,0.23343373493975902,0.13213981244671782,0.23754789272030652,0.13478260869565217,639
sample_0009.npz,0.23938223938223938,0.13596491228070176,0.2427564604541895,0.13814616755793227,639
sample_0010.npz,0.7859605139454716,0.6473928755807951,0.7842389577375278,0.6450601150026137,1560
sample_0011.npz,0.8242424242424242,0.7010309278350515,0.8230346166289226,0.6992853216052777,1560
sample_0012.npz,0.7915216703574818,0.6549738219895288,0.7912792561718499,0.6546419098143236,1560
sample_0013.npz,0.8068642745709829,0.676255230125523,0.8077288565093443,0.677470775770457,1560
sample_0014.npz,0.7968602825745683,0.6623173277661796,0.7973273942093542,0.662962962962963,1560
sample_0015.npz,0.778722064841045,0.6376288659793814,0.7762527928503032,0.6343244653103808,1560
sample_0016.npz,0.7941993211971614,0.6586489252814739,0.7928660826032541,0.6568170036288232,1560
sample_0017.npz,0.7839448102853559,0.6446621970087674,0.7848984771573604,0.6459530026109661,1560
sample_0018.npz,0.825543120473996,0.702914798206278,0.8278167836843865,0.7062179121505989,1560
sample_0019.npz,0.7951732673267327,0.6599897277863379,0.7971150830981499,0.6626694473409802,1560
sample_0020.npz,0.8990728476821193,0.8166506256015399,0.9033984479529034,0.823816495851635,1789
sample_0021.npz,0.8984648532184217,0.8156479217603912,0.9007882576787171,0.8194856577645895,1789
sample_0022.npz,0.8933333333333333,0.8072289156626506,0.8945375878853434,0.8091976516634051,1789
sample_0023.npz,0.8838971583220568,0.7919495635305529,0.885792349726776,0.7949975478175576,1789
sample_0024.npz,0.875,0.7777777777777778,0.8788819875776398,0.7839335180055401,1789
sample_0025.npz,0.9011752136752137,0.8201263976665046,0.9027027027027027,0.8226600985221675,1789
sample_0026.npz,0.8943567798876705,0.8089017900338655,0.8973734091524506,0.8138506876227898,1789
sample_0027.npz,0.8978835978835978,0.814690350456073,0.8998929336188437,0.8180048661800486,1789
sample_0028.npz,0.8953886693017128,0.8105916030534351,0.898828541001065,0.816247582205029,1789
sample_0029.npz,0.9007714817770683,0.81945788964182,0.9034686743748319,0.8239333006375674,1789
sample_0030.npz,0.830672748004561,0.7103851779619698,0.8210465452442902,0.6964198136341344,4011
sample_0031.npz,0.798326359832636,0.6643454038997214,0.7920147246212658,0.6556493202062822,4011
sample_0032.npz,0.7979490022172949,0.6638229190684806,0.7923466516601013,0.6561043802423113,4011
sample_0033.npz,0.8080080656776609,0.6778637022716288,0.7980122771119555,0.6639105058365758,4011
sample_0034.npz,0.8205714285714286,0.6957364341085271,0.8103873494849848,0.681219512195122,4011
sample_0035.npz,0.8128219805380652,0.6846673095467696,0.803768115942029,0.6719166464744366,4011
sample_0036.npz,0.8162498192858175,0.6895456765999023,0.8026991345166495,0.6704239157069346,4011
sample_0037.npz,0.8365829709636695,0.719074029418857,0.8265262558702149,0.7043414989085617,4011
sample_0038.npz,0.8233593524139925,0.6997542997542997,0.8117216117216117,0.6831072749691739,4011
sample_0039.npz,0.8103323175156001,0.6811417418882655,0.7994711326575584,0.6659324522760646,4011
sample_0040.npz,0.6859504132231405,0.5220125786163522,0.7017881176696789,0.5405805687203792,1921
sample_0041.npz,0.6890312853373539,0.5255894192064405,0.7069533217121828,0.5467345715997604,1921
sample_0042.npz,0.665690223361406,0.4989023051591657,0.6792664670658682,0.5143100028336639,1921
sample_0043.npz,0.6740535549399815,0.5083565459610028,0.6906884126683103,0.5275202780996524,1921
sample_0044.npz,0.7126168224299065,0.5535390199637024,0.7269108280254777,0.5709818636647905,1921
sample_0045.npz,0.6960151802656547,0.5337601862630966,0.7091014942751795,0.5493084786530367,1921
sample_0046.npz,0.6954536808065437,0.5331000291630212,0.7095145631067962,0.5498043936202227,1921
sample_0047.npz,0.7059505409582689,0.5455359808898178,0.7202369200394867,0.5627892625732799,1921
sample_0048.npz,0.7020376778162245,0.5408767772511849,0.7176864056659453,0.5596808837066585,1921
sample_0049.npz,0.7155390914408267,0.5570734669095325,0.7283926087820386,0.5728125,1921
sample_0050.npz,0.7816507727721145,0.6415654520917679,0.7788151417416398,0.6377536836252432,2799
sample_0051.npz,0.7929656274980016,0.6569536423841059,0.7965466688385731,0.6618841364374661,2799
sample_0052.npz,0.7976055654424851,0.6633476856835306,0.8008600727753887,0.6678620689655173,2799
sample_0053.npz,0.7894227668494034,0.6521044219499201,0.7946649102585214,0.6592896174863389,2799
sample_0054.npz,0.7905660377358491,0.6536661466458659,0.7951884522854852,0.6600106496272631,2799
sample_0055.npz,0.7925784966698383,0.6564223798266351,0.7959746794351567,0.6610946346724185,2799
sample_0056.npz,0.8021778584392014,0.6696969696969697,0.8061674008810573,0.6752767527675276,2799
sample_0057.npz,0.7777950552013684,0.6363867684478371,0.7865776081424937,0.6482306684141547,2799
sample_0058.npz,0.7977742448330684,0.6635810632107908,0.8029860434923726,0.670824295010846,2799
sample_0059.npz,0.7996198320925075,0.6661388229084191,0.806008722338879,0.6750541125541125,2799
sample_0060.npz,0.6531975819280942,0.4849988188046303,0.6558691468890314,0.4879503698401336,3402
sample_0061.npz,0.6528859914135793,0.48465533522190746,0.6556163501770196,0.4876705769691166,3402
sample_0062.npz,0.6530485917672547,0.48483455882352944,0.6542843764632433,0.48619809788912083,3402
sample_0063.npz,0.6530805687203791,0.4848698099929627,0.6560306317804723,0.4881291547958215,3402
