source,method,variant,resolution,input,model,val_best_dice,val_best_threshold,test_fixed_dice,test_val_selected_dice,test_val_selected_threshold,test_oracle_dice,heldout_latent_mse,heldout_curve_mse,path
baseline,r128_wrench_temporal_cnn32_unet,wrench_temporal_cnn32_unet,128,probe_wrench,temporal_cnn32_unet,0.7770255505808129,0.7,0.7692775410637163,0.7694473669002233,0.7,0.7703930272845387,,,runs/nonlinear_trajectory_20x_repeats10_seed20260618/highres_wrench_temporal_variants/r128_wrench_temporal_cnn32_unet
baseline,r128_wrench_temporal_gru32_unet,wrench_temporal_gru32_unet,128,probe_wrench,wrench_temporal_gru32_unet,0.7704179521773546,0.6,0.7671074553325515,0.7675945801422689,0.6,0.7675945801422689,,,runs/nonlinear_trajectory_20x_repeats10_seed20260618/highres_wrench_temporal_variants/r128_wrench_temporal_gru32_unet
baseline,r128_wrench_temporal_attention32_unet,wrench_temporal_attention32_unet,128,probe_wrench,wrench_temporal_attention32_unet,0.7737799496883776,0.65,0.7638759252713092,0.7651945269379635,0.65,0.7653176162765449,,,runs/nonlinear_trajectory_20x_repeats10_seed20260618/highres_wrench_temporal_variants/r128_wrench_temporal_attention32_unet
world_sweep,r128_wrench_lejepa_vit_unet_m50,wrench_lejepa_vit_unet,128,probe_wrench,lejepa_vit_unet,0.7426903317419894,0.55,0.7335735897263498,0.7337667333174025,0.55,0.7338327287367448,0.0753520369529724,,WM/runs/jepa_visreg_core_20260701/r128_wrench_lejepa_vit_unet_m50
world_sweep,r128_wrench_visreg_vit_unet_m50,wrench_visreg_vit_unet,128,probe_wrench,visreg_vit_unet,0.757599175519063,0.5,0.7261683408018791,0.7261683408018791,0.5,0.7268949183043126,0.07586548075079919,,WM/runs/jepa_visreg_core_20260701/r128_wrench_visreg_vit_unet_m50
world_sweep,r128_wrench_jepa_vit_unet_m50,wrench_jepa_vit_unet,128,probe_wrench,jepa_vit_unet,0.7514246276563403,0.5,0.7227427315529704,0.7227427315529704,0.5,0.7227427315529704,0.0069145749555900695,,WM/runs/jepa_visreg_core_20260701/r128_wrench_jepa_vit_unet_m50
