source,method,variant,resolution,input,model,val_best_dice,val_best_threshold,test_fixed_dice,test_val_selected_dice,test_val_selected_threshold,test_oracle_dice,heldout_latent_mse,heldout_curve_mse,path
baseline,r128_wrench_temporal_cnn32_unet,wrench_temporal_cnn32_unet,128,probe_wrench,temporal_cnn32_unet,0.7770255505808129,0.7,0.7692775410637163,0.7694473669002233,0.7,0.7703930272845387,,,runs/nonlinear_trajectory_20x_repeats10_seed20260618/highres_wrench_temporal_variants/r128_wrench_temporal_cnn32_unet
baseline,r128_wrench_temporal_gru32_unet,wrench_temporal_gru32_unet,128,probe_wrench,wrench_temporal_gru32_unet,0.7704179521773546,0.6,0.7671074553325515,0.7675945801422689,0.6,0.7675945801422689,,,runs/nonlinear_trajectory_20x_repeats10_seed20260618/highres_wrench_temporal_variants/r128_wrench_temporal_gru32_unet
baseline,r128_wrench_temporal_attention32_unet,wrench_temporal_attention32_unet,128,probe_wrench,wrench_temporal_attention32_unet,0.7737799496883776,0.65,0.7638759252713092,0.7651945269379635,0.65,0.7653176162765449,,,runs/nonlinear_trajectory_20x_repeats10_seed20260618/highres_wrench_temporal_variants/r128_wrench_temporal_attention32_unet
world_sweep,r128_wrench_temporal_cnn_world_unet,wrench_temporal_cnn_world_unet,128,probe_wrench_plus_action,temporal_cnn_action_world_unet,0.13082499137038314,0.6,0.2698285255491197,0.2407993933175715,0.6,0.2698285255491197,,0.36021781191369606,WM/runs/smoke_visreg_sparse_20260701/r128_wrench_temporal_cnn_world_unet
world_sweep,r128_wrench_visreg_vit_unet_m50,wrench_visreg_vit_unet,128,probe_wrench,visreg_vit_unet,0.08901859359709213,0.4,0.2460624516386691,0.2188160844609098,0.4,0.3069073282734868,0.7142029404640198,,WM/runs/smoke_visreg_sparse_20260701/r128_wrench_visreg_vit_unet_m50
world_sweep,r128_wrench_temporal_cnn_sparse_unet,wrench_temporal_cnn_sparse_unet,128,probe_wrench_plus_action,temporal_cnn_action_world_unet,0.07541429120018905,0.35,0.23772332518531766,0.20822090427207604,0.35,0.2621967030931654,,0.3907321993967326,WM/runs/smoke_visreg_sparse_20260701/r128_wrench_temporal_cnn_sparse_unet
