source,method,variant,resolution,input,model,val_best_dice,val_best_threshold,test_fixed_dice,test_val_selected_dice,test_val_selected_threshold,test_oracle_dice,heldout_latent_mse,heldout_curve_mse,path
world_sweep,r128_wrench_temporal_cnn_world_unet,wrench_temporal_cnn_world_unet,128,probe_wrench_plus_action,temporal_cnn_action_world_unet,0.7829659123888301,0.75,0.784964689556025,0.7781443202830278,0.75,0.7854400758349331,,0.7205524431164538,WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_unet
baseline,r128_wrench_temporal_cnn32_unet,wrench_temporal_cnn32_unet,128,probe_wrench,temporal_cnn32_unet,0.7770255505808129,0.7,0.7692775410637163,0.7694473669002233,0.7,0.7703930272845387,,,runs/nonlinear_trajectory_20x_repeats10_seed20260618/highres_wrench_temporal_variants/r128_wrench_temporal_cnn32_unet
baseline,r128_wrench_temporal_gru32_unet,wrench_temporal_gru32_unet,128,probe_wrench,wrench_temporal_gru32_unet,0.7704179521773546,0.6,0.7671074553325515,0.7675945801422689,0.6,0.7675945801422689,,,runs/nonlinear_trajectory_20x_repeats10_seed20260618/highres_wrench_temporal_variants/r128_wrench_temporal_gru32_unet
baseline,r128_wrench_temporal_attention32_unet,wrench_temporal_attention32_unet,128,probe_wrench,wrench_temporal_attention32_unet,0.7737799496883776,0.65,0.7638759252713092,0.7651945269379635,0.65,0.7653176162765449,,,runs/nonlinear_trajectory_20x_repeats10_seed20260618/highres_wrench_temporal_variants/r128_wrench_temporal_attention32_unet
world_sweep,r128_wrench_temporal_cnn_world_curve_unet,wrench_temporal_cnn_world_curve_unet,128,probe_wrench_plus_action,temporal_cnn_action_world_unet,0.7651361962234356,0.6,0.7307231577806375,0.7303742509085581,0.6,0.7307572779683209,,0.15843285998859288,WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_curve_unet
world_sweep,r128_wrench_temporal_cnn_sparse_unet,wrench_temporal_cnn_sparse_unet,128,probe_wrench_plus_action,temporal_cnn_action_world_unet,0.7435646803328118,0.6,0.7134108805230737,0.710487799929863,0.6,0.7136526996976054,,0.5212878389565062,WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_sparse_unet
