source,method,variant,resolution,input,model,val_best_dice,val_best_threshold,test_fixed_dice,test_val_selected_dice,test_val_selected_threshold,test_oracle_dice,heldout_latent_mse,heldout_curve_mse,path
baseline,r128_wrench_temporal_cnn32_unet,wrench_temporal_cnn32_unet,128,probe_wrench,temporal_cnn32_unet,0.7770255505808129,0.7,0.7692775410637163,0.7694473669002233,0.7,0.7703930272845387,,,runs/nonlinear_trajectory_20x_repeats10_seed20260618/highres_wrench_temporal_variants/r128_wrench_temporal_cnn32_unet
baseline,r128_wrench_temporal_gru32_unet,wrench_temporal_gru32_unet,128,probe_wrench,wrench_temporal_gru32_unet,0.7704179521773546,0.6,0.7671074553325515,0.7675945801422689,0.6,0.7675945801422689,,,runs/nonlinear_trajectory_20x_repeats10_seed20260618/highres_wrench_temporal_variants/r128_wrench_temporal_gru32_unet
baseline,r128_wrench_temporal_attention32_unet,wrench_temporal_attention32_unet,128,probe_wrench,wrench_temporal_attention32_unet,0.7737799496883776,0.65,0.7638759252713092,0.7651945269379635,0.65,0.7653176162765449,,,runs/nonlinear_trajectory_20x_repeats10_seed20260618/highres_wrench_temporal_variants/r128_wrench_temporal_attention32_unet
world_sweep,r128_wrench_temporal_cnn_sparse_unet,wrench_temporal_cnn_sparse_unet,128,probe_wrench_plus_action,temporal_cnn_action_world_unet,0.7200614232390954,0.55,0.6980336906584992,0.6973611626046066,0.55,0.6982341022234746,,0.513875874024077,WM/runs/sparse_baseline_core_20260701/r128_wrench_temporal_cnn_sparse_unet
