pattern,ratio,seed,area_bin,method,mean_sample_dice,delta_vs_sparse_unet,num_samples
local_block,0.5,20260702,small,world_unet,0.47314158802698053,-0.03224474927499649,140
local_block,0.5,20260703,large,sparse_unet,0.6021748793478288,,130
local_block,0.5,20260703,large,world_curve_unet,0.6273842128082363,0.025209333460407546,130
local_block,0.5,20260703,large,world_unet,0.6191578847690363,0.016983005421207564,130
local_block,0.5,20260703,medium,sparse_unet,0.6421192054970843,,130
local_block,0.5,20260703,medium,world_curve_unet,0.5865038102100554,-0.05561539528702897,130
local_block,0.5,20260703,medium,world_unet,0.5649557775036869,-0.07716342799339748,130
local_block,0.5,20260703,small,sparse_unet,0.5061655755822733,,140
local_block,0.5,20260703,small,world_curve_unet,0.48591258350536304,-0.020252992076910226,140
local_block,0.5,20260703,small,world_unet,0.46235367226736823,-0.04381190331490503,140
local_block,0.75,20260701,large,sparse_unet,0.6800477251971733,,130
local_block,0.75,20260701,large,world_curve_unet,0.7197136382767741,0.03966591307960088,130
local_block,0.75,20260701,large,world_unet,0.7502657092226502,0.07021798402547696,130
local_block,0.75,20260701,medium,sparse_unet,0.6982868599701693,,130
local_block,0.75,20260701,medium,world_curve_unet,0.7197965964841555,0.021509736513986244,130
local_block,0.75,20260701,medium,world_unet,0.7005077169203124,0.0022208569501431796,130
local_block,0.75,20260701,small,sparse_unet,0.6506809623972133,,140
local_block,0.75,20260701,small,world_curve_unet,0.7075946772783451,0.05691371488113184,140
local_block,0.75,20260701,small,world_unet,0.681894903640593,0.031213941243379728,140
local_block,0.75,20260702,large,sparse_unet,0.6741228902712346,,130
local_block,0.75,20260702,large,world_curve_unet,0.7259806929467015,0.05185780267546691,130
local_block,0.75,20260702,large,world_unet,0.7592829687657482,0.08516007849451357,130
local_block,0.75,20260702,medium,sparse_unet,0.6964697674210063,,130
local_block,0.75,20260702,medium,world_curve_unet,0.7197064559138087,0.02323668849280236,130
local_block,0.75,20260702,medium,world_unet,0.7057207416710042,0.009250974249997879,130
local_block,0.75,20260702,small,sparse_unet,0.6569308790133631,,140
local_block,0.75,20260702,small,world_curve_unet,0.6996581994399721,0.04272732042660898,140
local_block,0.75,20260702,small,world_unet,0.673899158759716,0.016968279746352843,140
local_block,0.75,20260703,large,sparse_unet,0.6765877547809749,,130
local_block,0.75,20260703,large,world_curve_unet,0.7281685727763416,0.051580817995366735,130
local_block,0.75,20260703,large,world_unet,0.7592293728174667,0.08264161803649184,130
local_block,0.75,20260703,medium,sparse_unet,0.6979422976518483,,130
local_block,0.75,20260703,medium,world_curve_unet,0.7172240927475717,0.019281795095723364,130
local_block,0.75,20260703,medium,world_unet,0.7088722427193864,0.010929945067538083,130
local_block,0.75,20260703,small,sparse_unet,0.6376857537808908,,140
local_block,0.75,20260703,small,world_curve_unet,0.6879481595945542,0.05026240581366348,140
local_block,0.75,20260703,small,world_unet,0.659130618270803,0.02144486448991223,140
local_block,0.9,20260701,large,sparse_unet,0.6873303070092205,,130
local_block,0.9,20260701,large,world_curve_unet,0.740290191753729,0.05295988474450852,130
local_block,0.9,20260701,large,world_unet,0.7771060092898394,0.08977570228061893,130
local_block,0.9,20260701,medium,sparse_unet,0.7089202732496217,,130
local_block,0.9,20260701,medium,world_curve_unet,0.7316853341919604,0.022765060942338655,130
local_block,0.9,20260701,medium,world_unet,0.7269626098996643,0.018042336650042623,130
local_block,0.9,20260701,small,sparse_unet,0.6707113729864009,,140
local_block,0.9,20260701,small,world_curve_unet,0.7379483901139471,0.06723701712754615,140
local_block,0.9,20260701,small,world_unet,0.7184449824079415,0.04773360942154059,140
local_block,0.9,20260702,large,sparse_unet,0.6853727119237725,,130
local_block,0.9,20260702,large,world_curve_unet,0.7388839667568528,0.05351125483308028,130
local_block,0.9,20260702,large,world_unet,0.7780537821502933,0.09268107022652083,130
local_block,0.9,20260702,medium,sparse_unet,0.7080519676226892,,130
local_block,0.9,20260702,medium,world_curve_unet,0.7334747286444613,0.0254227610217721,130
local_block,0.9,20260702,medium,world_unet,0.7275745821966295,0.019522614573940333,130
local_block,0.9,20260702,small,sparse_unet,0.6691844681724798,,140
local_block,0.9,20260702,small,world_curve_unet,0.7397883814716489,0.07060391329916915,140
local_block,0.9,20260702,small,world_unet,0.7184761442918999,0.04929167611942009,140
local_block,0.9,20260703,large,sparse_unet,0.6843525026073168,,130
local_block,0.9,20260703,large,world_curve_unet,0.7398942781909815,0.05554177558366469,130
local_block,0.9,20260703,large,world_unet,0.7779203332105864,0.09356783060326956,130
local_block,0.9,20260703,medium,sparse_unet,0.7093331068391022,,130
local_block,0.9,20260703,medium,world_curve_unet,0.7330111691419959,0.02367806230289371,130
local_block,0.9,20260703,medium,world_unet,0.7274438481200084,0.018110741280906173,130
local_block,0.9,20260703,small,sparse_unet,0.672857433239364,,140
local_block,0.9,20260703,small,world_curve_unet,0.7351806364653327,0.06232320322596874,140
local_block,0.9,20260703,small,world_unet,0.71735067836371,0.04449324512434605,140
missing_block,0.1,20260701,large,sparse_unet,0.14983810306566586,,130
missing_block,0.1,20260701,large,world_curve_unet,0.14606023505973553,-0.0037778680059303293,130
missing_block,0.1,20260701,large,world_unet,0.30203873163270856,0.1522006285670427,130
missing_block,0.1,20260701,medium,sparse_unet,0.20844877907149922,,130
missing_block,0.1,20260701,medium,world_curve_unet,0.13066285761999408,-0.07778592145150515,130
missing_block,0.1,20260701,medium,world_unet,0.1681238783152155,-0.04032490075628373,130
missing_block,0.1,20260701,small,sparse_unet,0.18774484812882558,,140
missing_block,0.1,20260701,small,world_curve_unet,0.11541844809278855,-0.07232640003603703,140
missing_block,0.1,20260701,small,world_unet,0.09270485242430834,-0.09503999570451724,140
missing_block,0.1,20260702,large,sparse_unet,0.15160731291436177,,130
missing_block,0.1,20260702,large,world_curve_unet,0.1531105062908705,0.0015031933765087269,130
missing_block,0.1,20260702,large,world_unet,0.29737797652884257,0.1457706636144808,130
missing_block,0.1,20260702,medium,sparse_unet,0.19414118407069605,,130
missing_block,0.1,20260702,medium,world_curve_unet,0.12832917334041657,-0.06581201073027948,130
missing_block,0.1,20260702,medium,world_unet,0.17038186610269784,-0.02375931796799821,130
missing_block,0.1,20260702,small,sparse_unet,0.19349263754294385,,140
missing_block,0.1,20260702,small,world_curve_unet,0.11192554928350465,-0.0815670882594392,140
missing_block,0.1,20260702,small,world_unet,0.09402071450165142,-0.09947192304129243,140
missing_block,0.1,20260703,large,sparse_unet,0.157123358611453,,130
missing_block,0.1,20260703,large,world_curve_unet,0.14966015429372315,-0.0074632043177298435,130
missing_block,0.1,20260703,large,world_unet,0.3014370925820122,0.1443137339705592,130
missing_block,0.1,20260703,medium,sparse_unet,0.19650318651194468,,130
missing_block,0.1,20260703,medium,world_curve_unet,0.13290117792766126,-0.06360200858428341,130
missing_block,0.1,20260703,medium,world_unet,0.17027138371530828,-0.026231802796636394,130
missing_block,0.1,20260703,small,sparse_unet,0.19688513661741758,,140
missing_block,0.1,20260703,small,world_curve_unet,0.10895038400434838,-0.0879347526130692,140
missing_block,0.1,20260703,small,world_unet,0.09075041634893409,-0.10613472026848349,140
missing_block,0.25,20260701,large,sparse_unet,0.3604903361301512,,130
missing_block,0.25,20260701,large,world_curve_unet,0.3007480109044381,-0.0597423252257131,130
missing_block,0.25,20260701,large,world_unet,0.3574094042608923,-0.003080931869258896,130
missing_block,0.25,20260701,medium,sparse_unet,0.3915145704869314,,130
missing_block,0.25,20260701,medium,world_curve_unet,0.2860524584883875,-0.10546211199854388,130
missing_block,0.25,20260701,medium,world_unet,0.26547882964178615,-0.12603574084514524,130
missing_block,0.25,20260701,small,sparse_unet,0.320491851709253,,140
missing_block,0.25,20260701,small,world_curve_unet,0.2378127282012821,-0.08267912350797088,140
missing_block,0.25,20260701,small,world_unet,0.17467017234717958,-0.1458216793620734,140
missing_block,0.25,20260702,large,sparse_unet,0.3318823373377295,,130
missing_block,0.25,20260702,large,world_curve_unet,0.2840484904734152,-0.0478338468643143,130
