method,method_dir,pattern,ratio,seed,observed_tokens,val_selected_threshold,val_selected_val_dice,test_fixed_dice,test_val_selected_dice,test_iou,test_precision,test_recall,test_mean_sample_dice,test_mean_sample_iou
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_baseline_core_20260701/r128_wrench_temporal_cnn_sparse_unet,random,0.1,20260701,40,0.30000001192092896,0.5779914070231298,0.5539232030035163,0.556231691332021,0.38526381829588746,0.5347889138932257,0.5794658242389431,0.5434545670137019,0.3877564100974268
world_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_unet,random,0.1,20260701,40,0.925000011920929,0.45840038607921735,0.4059918261069438,0.43483752699512834,0.27782261234535416,0.4019241928370819,0.47362216569568666,0.4143753289345877,0.2721000943023958
world_curve_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_curve_unet,random,0.1,20260701,40,0.15000000596046448,0.43046902739486953,0.41558227119640045,0.42410645520152895,0.2691212592382087,0.4431168598933031,0.406660102294795,0.3906283631454309,0.257885671385369
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_baseline_core_20260701/r128_wrench_temporal_cnn_sparse_unet,random,0.1,20260702,40,0.32499998807907104,0.5913483320907624,0.5535136071431564,0.5562394336432798,0.38527124691245085,0.5378406681821665,0.5759415770903422,0.5500750824407423,0.3930898237737155
world_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_unet,random,0.1,20260702,40,0.925000011920929,0.4592551333254216,0.4066200781757539,0.43001881757582844,0.2739006189308883,0.3961756914188129,0.4701840759279013,0.4121475397384509,0.2710743686573944
world_curve_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_curve_unet,random,0.1,20260702,40,0.125,0.4380972992375156,0.41449494060748066,0.4194006126553041,0.2653427655440699,0.42525722109838576,0.4137031262821039,0.38477026337620684,0.25190500406170474
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_baseline_core_20260701/r128_wrench_temporal_cnn_sparse_unet,random,0.1,20260703,40,0.3499999940395355,0.589506984894701,0.5513928497087586,0.5534190175042047,0.382570367093716,0.5408875240564769,0.5665449522715462,0.5417293518263322,0.38615873070110845
world_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_unet,random,0.1,20260703,40,0.925000011920929,0.4588445343821962,0.3988019605104415,0.42349023838177247,0.26862519261985146,0.3892012698994854,0.46440469352588826,0.40224846866386244,0.2628073499034626
world_curve_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_curve_unet,random,0.1,20260703,40,0.15000000596046448,0.4455233879531943,0.40564956635403754,0.412742372451132,0.2600348962181469,0.42856112173696664,0.39804983452312576,0.37592753556250974,0.24573520797264403
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_baseline_core_20260701/r128_wrench_temporal_cnn_sparse_unet,random,0.25,20260701,100,0.675000011920929,0.676865206629051,0.6454509195884327,0.6457119952550351,0.47679075129712417,0.6394368350332701,0.6521115396187194,0.631769736888017,0.4760212441984902
world_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_unet,random,0.25,20260701,100,0.7749999761581421,0.6836434388837487,0.653059528232662,0.6623421364987195,0.49515063198975134,0.6634313132269426,0.6612565301824348,0.6410194799709308,0.48751191865862653
world_curve_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_curve_unet,random,0.25,20260701,100,0.44999998807907104,0.685350800609592,0.6647070636728903,0.6649165254052648,0.49803367209462346,0.6960175991936195,0.6364760263668937,0.6523514131109909,0.4994068105995474
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_baseline_core_20260701/r128_wrench_temporal_cnn_sparse_unet,random,0.25,20260702,100,0.699999988079071,0.6788569263624605,0.6543015006273656,0.6532573302264154,0.4850647008431399,0.6592624986246882,0.6473605754766008,0.6412114876539465,0.48518208918025096
world_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_unet,random,0.25,20260702,100,0.7749999761581421,0.6858632976040394,0.6506613063926492,0.6594298029954702,0.491902478862315,0.6632204053345581,0.6556822844014113,0.6352789220259945,0.4814278955997804
world_curve_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_curve_unet,random,0.25,20260702,100,0.42500001192092896,0.6950682087426058,0.6638098139926294,0.6646291687122519,0.4977113121988182,0.6949007120560095,0.6368849320313996,0.6483655157797729,0.496300913727605
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_baseline_core_20260701/r128_wrench_temporal_cnn_sparse_unet,random,0.25,20260703,100,0.6499999761581421,0.6784046823464017,0.653616383763743,0.655920392668664,0.4880071009863701,0.6438772485657263,0.6684226361423374,0.6457944542918546,0.48965868413937275
world_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_unet,random,0.25,20260703,100,0.7749999761581421,0.6893733533623081,0.6530892852480864,0.6614681554039875,0.4941743882108594,0.6633797237482428,0.659567572002954,0.6371306598995229,0.48362299281482957
world_curve_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_curve_unet,random,0.25,20260703,100,0.42500001192092896,0.6891436662973855,0.6612905210508601,0.6617605176518837,0.4945008172160174,0.6902369904764168,0.6355406033751813,0.6429866805451055,0.4909855230057075
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_baseline_core_20260701/r128_wrench_temporal_cnn_sparse_unet,random,0.5,20260701,200,0.675000011920929,0.7108785072633097,0.686585258432538,0.6870722459624423,0.5233130641419801,0.6914544119887536,0.6827452750198298,0.677244455055613,0.5240740046337856
world_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_unet,random,0.5,20260701,200,0.675000011920929,0.7568302108275723,0.7375771562540067,0.7392191962807618,0.5863185686997323,0.7426155387668688,0.7358537786165587,0.7190066821302403,0.5765270931500871
world_curve_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_curve_unet,random,0.5,20260701,200,0.625,0.7687895173231075,0.7354304489893526,0.734367772651876,0.5802378896360715,0.7720133348813295,0.700222915128142,0.7272142949898446,0.5843803563099743
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_baseline_core_20260701/r128_wrench_temporal_cnn_sparse_unet,random,0.5,20260702,200,0.675000011920929,0.7075536018139924,0.6818925202374105,0.6823736003415649,0.5178809414553737,0.6872482383620929,0.6775676267060529,0.6726813990433985,0.519130922632535
world_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_unet,random,0.5,20260702,200,0.675000011920929,0.7555391423204881,0.736096296924279,0.7375468873433175,0.5842172512777428,0.7448963081575379,0.730341073821832,0.7206441905944305,0.5786352832744044
world_curve_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_curve_unet,random,0.5,20260702,200,0.625,0.7665779420578083,0.732784924076349,0.7315549473970777,0.5767336518802173,0.7682116714187913,0.6982371926369629,0.7255890661348218,0.5829690078377857
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_baseline_core_20260701/r128_wrench_temporal_cnn_sparse_unet,random,0.5,20260703,200,0.699999988079071,0.7071483295800153,0.685259094093748,0.6850807643573755,0.5210059643112334,0.6953750320473991,0.6750868411695523,0.6766287130170275,0.5232603610472463
world_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_unet,random,0.5,20260703,200,0.675000011920929,0.7540823806529594,0.7384833925104622,0.7391169838301617,0.5861899750821961,0.743142920341748,0.7351344328656219,0.7212001936683693,0.5785028455256566
world_curve_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_curve_unet,random,0.5,20260703,200,0.6000000238418579,0.7670450101510321,0.7368888938509439,0.7359960918166715,0.5822735887537493,0.767823206981143,0.7067024971964662,0.7303991255960608,0.5881274040441398
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_baseline_core_20260701/r128_wrench_temporal_cnn_sparse_unet,random,0.75,20260701,300,0.625,0.7174040614624353,0.6938791316795931,0.6930661932327864,0.5302993844402349,0.7022123278922316,0.684155247394765,0.6838294289448941,0.5319030709129013
world_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_unet,random,0.75,20260701,300,0.6499999761581421,0.7727399390604025,0.7536288171259092,0.7544649850356322,0.6057356685851308,0.761470087994105,0.7475875933371625,0.7367205489473099,0.5984582940324212
world_curve_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_curve_unet,random,0.75,20260701,300,0.574999988079071,0.7811457669082368,0.7454640915321487,0.7443601280287406,0.592813389128964,0.7800622287235318,0.7117830475096414,0.7377890325430428,0.5983513581350636
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_baseline_core_20260701/r128_wrench_temporal_cnn_sparse_unet,random,0.75,20260702,300,0.625,0.7155061933856747,0.6941241414793754,0.6927092201341695,0.5298815158822303,0.7042165755037042,0.6815718935477695,0.6835909943992466,0.531122108820499
