epoch,train_loss,train_latent_mse,train_sigreg,val_loss,val_latent_mse,val_sigreg,elapsed_seconds
1,0.2090147208571434,0.2090147208571434,0.0,0.036877606734633445,0.036877606734633445,0.0,1.5101789440959692
2,0.05885723328590393,0.05885723328590393,0.0,0.018914655558764936,0.018914655558764936,0.0,2.722673769108951
3,0.04163136106729508,0.04163136106729508,0.0,0.012870078729465604,0.012870078729465604,0.0,3.9893972370773554
4,0.034335217893123625,0.034335217893123625,0.0,0.009792890055105091,0.009792890055105091,0.0,5.2057871910510585
5,0.030288218885660172,0.030288218885660172,0.0,0.008076642816886305,0.008076642816886305,0.0,6.4317653980106115
6,0.027886443495750427,0.027886443495750427,0.0,0.007000239104963839,0.007000239104963839,0.0,7.6303194120991975
7,0.026432241663336752,0.026432241663336752,0.0,0.006474878252483904,0.006474878252483904,0.0,8.885532241081819
8,0.025563401162624358,0.025563401162624358,0.0,0.006313789458945393,0.006313789458945393,0.0,10.165316607104614
9,0.02541903229057789,0.02541903229057789,0.0,0.006541677284985781,0.006541677284985781,0.0,11.437591309077106
10,0.025578400641679763,0.025578400641679763,0.0,0.007139693191275001,0.007139693191275001,0.0,12.656184743042104
11,0.026278996989130974,0.026278996989130974,0.0,0.008006494203582406,0.008006494203582406,0.0,13.856536752078682
12,0.027168715953826906,0.027168715953826906,0.0,0.008978242315351962,0.008978242315351962,0.0,15.044264874071814
13,0.02830749461054802,0.02830749461054802,0.0,0.010199622982181609,0.010199622982181609,0.0,16.233344881096855
14,0.029429074570536614,0.029429074570536614,0.0,0.011266031432896853,0.011266031432896853,0.0,17.465648689074442
15,0.03069639037549496,0.03069639037549496,0.0,0.012291426681913435,0.012291426681913435,0.0,18.71351257408969
16,0.03166148541867733,0.03166148541867733,0.0,0.013897914169356228,0.013897914169356228,0.0,19.937510764109902
